study_id,category,intervention,control,n_intervention,n_control,events_intervention,events_control,risk_intervention,risk_control,rr,log_rr,se_log_rr,year,mean_age,pct_male,mean_followup_months,notes
DANAMI-2,STEMI Management,Primary PCI,Fibrinolysis,790,782,63,85,0.0797468354430379,0.108695652173913,0.7336708860759493,-0.3096947350145399,0.15840810140912,2003,63.0,76.0,36.0,"Danish trial, transfer for primary PCI"
PRAGUE-2,STEMI Management,Primary PCI,Fibrinolysis,429,421,59,78,0.1375291375291375,0.1852731591448931,0.7423047038431654,-0.2979954680295078,0.1583141374602071,2003,61.0,74.0,12.0,Primary PCI with transfer vs fibrinolysis
CAPTIM,STEMI Management,Primary PCI,Pre-hospital fibrinolysis,419,421,36,38,0.0859188544152744,0.0902612826603325,0.9518904660218566,-0.049305307510032,0.2221072612376264,2002,59.0,84.0,12.0,Early presentation (<2 hours)
PAMI,STEMI Management,Primary PCI,t-PA,195,200,9,13,0.0461538461538461,0.065,0.7100591715976331,-0.3424069721410275,0.4217890265357586,1993,58.0,77.0,6.0,First major trial of primary PCI
Zijlstra 1993,STEMI Management,Primary PCI,Streptokinase,152,149,7,13,0.0460526315789473,0.087248322147651,0.527834008097166,-0.6389734233070408,0.4544115568686888,1993,60.0,79.0,6.0,Dutch trial
Grines 1993,STEMI Management,Primary PCI,t-PA,200,205,12,20,0.06,0.0975609756097561,0.615,-0.4861330111756192,0.3513620419920819,1993,59.0,75.0,6.0,Multi-center US trial
GUSTO-IIb angioplasty,STEMI Management,Primary PCI,t-PA,565,573,31,41,0.0548672566371681,0.0715532286212914,0.7668033671487158,-0.2655248766508629,0.2305063908356187,1997,62.0,72.0,12.0,GUSTO-IIb substudy
SHOCK,STEMI Management,Early revascularization,Initial medical stabilization,152,150,69,85,0.4539473684210526,0.5666666666666667,0.8010835913312694,-0.2217899786430776,0.1140694765064415,1999,66.0,67.0,6.0,Cardiogenic shock complicating AMI
STREAM,STEMI Management,Primary PCI,Pre-hospital fibrinolysis,939,943,51,55,0.0543130990415335,0.0583244962884411,0.9312227708393844,-0.0712567490829505,0.1888498165360664,2013,60.0,76.0,12.0,Cannot reach cath lab within 1 hour
PRAGUE-1,STEMI Management,Primary PCI,Streptokinase,101,99,14,17,0.1386138613861386,0.1717171717171717,0.8072218986604544,-0.2141566811476269,0.3320393058665135,2000,62.0,70.0,12.0,Community hospital transfer
AIR-PAMI,STEMI Management,Primary PCI,t-PA,71,67,4,6,0.056338028169014,0.0895522388059701,0.6291079812206574,-0.4634523657585136,0.6226209011028178,2000,57.0,80.0,1.0,Air transport for primary PCI
WEST,STEMI Management,Primary PCI,TNK,31,33,2,4,0.064516129032258,0.1212121212121212,0.532258064516129,-0.6306268235786113,0.8291193552081876,2006,61.0,71.0,12.0,Rural areas
TAPAS,STEMI Management,Thrombus aspiration + PCI,PCI alone,535,536,25,40,0.0467289719626168,0.0746268656716417,0.6261682242990655,-0.46813621507094,0.2475180184950265,2008,61.0,77.0,12.0,Thrombus aspiration during primary PCI
TASTE,STEMI Management,Thrombus aspiration + PCI,PCI alone,3621,3623,198,203,0.0546810273405136,0.0560309136075075,0.975908187461483,-0.0243867672178159,0.0970795151790164,2013,65.0,74.0,12.0,Largest thrombus aspiration trial
TOTAL,STEMI Management,Routine aspiration + PCI,PCI alone,5033,5030,207,198,0.0411285515597059,0.0393638170974155,1.0448313855824287,0.0438555188882587,0.0973854563729396,2015,60.0,79.0,12.0,"Showed no benefit, increased stroke"
FRISC-II,NSTEMI/Unstable Angina,Early invasive,Conservative,1222,1235,127,159,0.1039279869067103,0.128744939271255,0.8072393951558946,-0.2141350064311032,0.1119610500101584,1999,66.0,66.0,24.0,Fast Revascularisation during InStability in Coronary artery disease
TACTICS-TIMI 18,NSTEMI/Unstable Angina,Early invasive,Conservative,1114,1106,95,118,0.085278276481149,0.1066907775768535,0.7993031676961933,-0.2240149712700732,0.1311452128765296,2001,62.0,65.0,6.0,Treat Angina with Aggrastat and determine Cost of Therapy
RITA-3,NSTEMI/Unstable Angina,Early invasive,Conservative,895,915,76,94,0.0849162011173184,0.1027322404371584,0.8265779151313444,-0.1904610949830068,0.146921673004921,2002,62.0,69.0,12.0,Randomised Intervention Trial of unstable Angina
ICTUS,NSTEMI/Unstable Angina,Early invasive,Selective invasive,604,604,67,64,0.1109271523178807,0.1059602649006622,1.046875,0.0458095360312942,0.165042766749054,2005,62.0,73.0,12.0,Invasive versus Conservative Treatment in Unstable coronary Syndromes
VINO,NSTEMI/Unstable Angina,Early invasive,Conservative,69,68,4,10,0.0579710144927536,0.1470588235294117,0.3942028985507246,-0.9308895312953076,0.5663932944729047,2002,58.0,79.0,6.0,Value of first day angiography
TRUCS,NSTEMI/Unstable Angina,Early invasive,Conservative,150,150,12,18,0.08,0.12,0.6666666666666667,-0.4054651081081643,0.3543381937578216,2000,60.0,70.0,6.0,Treatment of Refractory Unstable angina in geographically isolated areas
ISAR-COOL,NSTEMI/Unstable Angina,Immediate invasive,Delayed invasive,205,205,24,19,0.1170731707317073,0.0926829268292682,1.2631578947368425,0.2336148511815052,0.2907613248921862,2003,66.0,71.0,1.0,Intracoronary Stenting with Antithrombotic Regimen Cooling Off
TIMACS,NSTEMI/Unstable Angina,Early invasive (<24h),Delayed invasive,1593,1586,148,152,0.0929064657878217,0.0958385876418663,0.9694056232860871,-0.0310721547974165,0.1098974099365399,2009,65.0,68.0,6.0,Timing of Intervention in Acute Coronary Syndromes
ELISA,NSTEMI/Unstable Angina,Immediate invasive,Delayed invasive (>24h),68,74,5,8,0.0735294117647058,0.1081081081081081,0.6801470588235294,-0.3854462412176724,0.5447757374677633,2003,65.0,72.0,1.0,Early or Late Intervention in unStable Angina
OPTIMA,NSTEMI/Unstable Angina,Immediate invasive,Delayed invasive (25h),71,71,4,6,0.056338028169014,0.0845070422535211,0.6666666666666667,-0.4054651081081643,0.6232957986238633,2003,63.0,74.0,6.0,Optimal Timing of PCI in Unstable Angina
CURE,NSTEMI/Unstable Angina,Clopidogrel + ASA,Placebo + ASA,6259,6303,582,719,0.092986100015977,0.1140726638108837,0.815147967177612,-0.2043856274012002,0.0528262160517727,2001,64.0,62.0,9.0,Clopidogrel in Unstable angina to prevent Recurrent Events
CREDO,NSTEMI/Unstable Angina,Clopidogrel pretreatment,No pretreatment,1053,1063,109,129,0.1035137701804368,0.1213546566321731,0.8529855635798789,-0.1590126559245559,0.1226207507823407,2002,61.0,70.0,12.0,Clopidogrel for Reduction of Events During Observation
TRILOGY ACS,NSTEMI/Unstable Angina,Prasugrel,Clopidogrel,3555,3564,557,571,0.1566807313642756,0.1602132435465768,0.977951184907668,-0.0222955233753675,0.0546330308097775,2012,75.0,47.0,17.0,Medically managed NSTE-ACS
PLATO,NSTEMI/Unstable Angina,Ticagrelor,Clopidogrel,9333,9291,822,929,0.0880745740919318,0.0999892368959207,0.8808405467041323,-0.1268786606820928,0.0455872082098038,2009,62.0,72.0,12.0,ACS with or without ST elevation
TRACER,NSTEMI/Unstable Angina,Vorapaxar,Placebo,6473,6502,977,1004,0.150934651629847,0.1544140264533989,0.9774672359534518,-0.0227905058905513,0.0413675076098738,2012,62.0,71.0,18.0,PAR-1 antagonist in NSTE-ACS
PROVE-IT TIMI 22,Post-MI Management,Atorvastatin 80mg,Pravastatin 40mg,2099,2063,449,537,0.213911386374464,0.2603005332040717,0.8217862012858831,-0.1962750135159917,0.0559304976665509,2004,58.0,78.0,24.0,Intensive vs standard statin therapy post-ACS
A to Z,Post-MI Management,Early simvastatin 80mg,Delayed simvastatin 20mg,2265,2232,309,343,0.1364238410596026,0.153673835125448,0.8877493097522832,-0.1190658846841272,0.072540802808822,2004,61.0,75.0,24.0,Aggrastat to Zocor - intensive therapy post-ACS
MIRACL,Post-MI Management,Atorvastatin 80mg,Placebo,1538,1548,228,269,0.1482444733420026,0.1737726098191214,0.8530945900870632,-0.1588848465633152,0.0825060430555296,2001,65.0,65.0,4.0,Myocardial Ischemia Reduction with Aggressive Cholesterol Lowering
LIPID,Post-MI Management,Pravastatin 40mg,Placebo,4512,4502,498,633,0.1103723404255319,0.1406041759218125,0.7849862189506235,-0.2420891168307405,0.0560718846940032,1998,62.0,83.0,72.0,Long-term Intervention with Pravastatin in Ischaemic Disease
DAPT,Post-MI Management,30 months DAPT,12 months DAPT,4941,4916,180,222,0.0364298724954462,0.0451586655817737,0.8067083476919544,-0.2147930791418934,0.0982560658025716,2014,61.0,75.0,30.0,Duration of dual antiplatelet therapy after DES
PRODIGY,Post-MI Management,24 months DAPT,6 months DAPT,1002,1001,107,102,0.1067864271457085,0.1018981018981019,1.0479726820868067,0.0468575188480455,0.1309683586601506,2012,68.0,77.0,24.0,Prolonging Dual antiplatelet treatment after Grading stent-induced Intimal hyperplasia studY
EXCELLENT,Post-MI Management,12 months DAPT,6 months DAPT,722,721,28,32,0.038781163434903,0.044382801664355,0.8737880886426592,-0.1349173942323998,0.2533619577028644,2012,62.0,68.0,12.0,Efficacy of Xience/Promus versus Cypher to reduce Late Loss after stenting
RESET,Post-MI Management,3 months DAPT,12 months DAPT,1059,1058,47,46,0.0443814919735599,0.0434782608695652,1.0207743153918791,0.0205614720378018,0.2027961033453928,2012,63.0,71.0,12.0,Real Safety and Efficacy of 3-month dual antiplatelet Therapy
SECURITY,Post-MI Management,6 months DAPT,12 months DAPT,682,717,47,52,0.0689149560117302,0.0725244072524407,0.9502312203925108,-0.0510499341152104,0.1940267743796098,2014,64.0,79.0,12.0,Second generation drug-eluting stent implantation
ISAR-SAFE,Post-MI Management,6 months DAPT,12 months DAPT,2003,1997,112,131,0.055916125811283,0.0655983975963945,0.8524007881307809,-0.15969845415606,0.1247483745979317,2015,68.0,75.0,15.0,Safety and efficacy of 6 vs 12 months DAPT after DES
AFFIRM,AF Rate vs Rhythm Control,Rhythm control,Rate control,2027,2033,356,310,0.1756290083867785,0.1524840137727496,1.15178636790426,0.141314100549185,0.0710603362577399,2002,70.0,61.0,42.0,Atrial Fibrillation Follow-up Investigation of Rhythm Management
RACE,AF Rate vs Rhythm Control,Rhythm control,Rate control,266,256,23,18,0.0864661654135338,0.0703125,1.2297410192147034,0.2068035937308483,0.3022716790056259,2002,68.0,63.0,34.0,Rate Control versus Electrical cardioversion for persistent atrial fibrillation
