study_id,study_name,year,n_intervention,n_control,deaths_intervention,deaths_control,followup_months,mean_age,mean_lvef,pct_ischemic,mean_nyha,reference,intervention,control,outcome,dataset_name,etiology,log_rr,se_log_rr,rr,ci_lower,ci_upper
MADIT-I,Multicenter Automatic Defibrillator Implantation Trial,1996,95,101,15,39,27,63,26,100,2.2,N Engl J Med. 1996;335(26):1933-40,ICD,Medical therapy/control,All-cause mortality,icd_primary_prevention,Ischemic,-0.8942678197867178,0.26810517790450955,0.4089068825910931,0.2417734934803832,0.6915763850843
CABG-Patch,Coronary Artery Bypass Graft Patch Trial,1997,446,454,101,95,32,64,27,100,2.0,N Engl J Med. 1997;337(22):1569-75,ICD,Medical therapy/control,All-cause mortality,icd_primary_prevention,Ischemic,0.0790218712620026,0.12642195319765356,1.0822279915034223,0.8447072536755496,1.386536484086348
MADIT-II,MADIT-II,2002,742,490,105,97,20,64,23,100,2.1,N Engl J Med. 2002;346(12):877-83,ICD,Medical therapy/control,All-cause mortality,icd_primary_prevention,Ischemic,-0.3356944804085676,0.12823635464608182,0.7148414705310251,0.555971783280483,0.9191083852778265
DEFINITE,Defibrillators in Non-Ischemic Cardiomyopathy Treatment Evaluation,2004,229,229,28,40,29,58,21,0,2.3,N Engl J Med. 2004;350(21):2151-8,ICD,Medical therapy/control,All-cause mortality,icd_primary_prevention,Nonischemic,-0.35667494393873245,0.2279926780844886,0.7,0.4477408861670215,1.094382968226883
SCD-HeFT,Sudden Cardiac Death in Heart Failure Trial,2005,829,847,182,244,46,60,25,52,2.3,N Engl J Med. 2005;352(3):225-37,ICD,Medical therapy/control,All-cause mortality,icd_primary_prevention,Mixed,-0.2716809986996471,0.08488790248532303,0.7620973323577686,0.6452862336195876,0.900053826856035
COMPANION,"Comparison of Medical Therapy, Pacing, and Defibrillation",2004,595,308,105,68,16,67,22,56,3.2,N Engl J Med. 2004;350(21):2140-50,ICD,Medical therapy/control,All-cause mortality,icd_primary_prevention,Mixed,-0.22400897759063856,0.13893259646709943,0.7993079584775087,0.6087687119958857,1.0494843113583023
DINAMIT,Defibrillator in Acute Myocardial Infarction Trial,2004,332,342,62,58,30,62,28,100,1.8,N Engl J Med. 2004;351(21):2481-8,ICD,Medical therapy/control,All-cause mortality,icd_primary_prevention,Ischemic,0.09636714264478877,0.1656332900338912,1.1011632737847943,0.7959060674463537,1.5234970621884043
IRIS,Immediate Risk Stratification Improves Survival,2009,445,453,116,117,37,62,31,100,1.9,N Engl J Med. 2009;361(15):1427-36,ICD,Medical therapy/control,All-cause mortality,icd_primary_prevention,Ischemic,0.009234099625402455,0.11275194753165556,1.0092768654566409,0.8091591009517273,1.258886898692563
DANISH,Danish Study to Assess ICD in Nonischemic Systolic HF,2016,556,560,120,131,68,63,25,0,2.4,N Engl J Med. 2016;375(13):1221-30,ICD,Medical therapy/control,All-cause mortality,icd_primary_prevention,Nonischemic,-0.08053709094049306,0.11127733678876149,0.9226206820802899,0.7418259210813942,1.14747799829025
CAT,Cardiomyopathy Trial,2002,50,54,6,7,34,52,25,0,2.5,Lancet. 2002;359(9307):643-9,ICD,Medical therapy/control,All-cause mortality,icd_primary_prevention,Nonischemic,-0.07718963869112998,0.5205816852380527,0.9257142857142857,0.3336943776919337,2.5680592663944815
AMIOVIRT,Amiodarone Versus Implantable Defibrillator,2003,51,52,7,11,24,58,23,0,2.2,Circulation. 2003;108(25):3168-75,ICD,Medical therapy/control,All-cause mortality,icd_primary_prevention,Nonischemic,-0.4325670378859555,0.4415060830817732,0.6488413547237077,0.27309953293829237,1.5415445755991877
