study_id,category,intervention,control,n_intervention,n_control,events_intervention,events_control,risk_intervention,risk_control,rr,log_rr,se_log_rr,year,mean_age,pct_male,mean_followup_months,notes
SYNTAX,CABG Techniques,CABG,PCI with DES,897,903,173,269,0.19286510590858416,0.2978959025470653,0.6474245005035372,-0.4347530937458709,0.08529696375553915,2009,65.0,78.0,60,"Synergy between PCI with Taxus and Cardiac Surgery. 3-vessel or left main CAD. CABG reduced MACE 25% vs PCI (20% vs 28%, p<0.001). Introduced SYNTAX score. CABG superior in complex disease. Landmark trial."
CORONARY,CABG Techniques,Off-pump CABG,On-pump CABG,2375,2377,310,300,0.13052631578947368,0.12620950778291964,1.03420350877193,0.03363157371444329,0.07561341675979794,2012,68.0,79.0,60,"CABG Off or On Pump Revascularization Study. Off-pump NO better than on-pump (9.8% vs 10.7% at 5yr, p=0.58). Stroke similar. Graft patency lower with off-pump. On-pump remains gold standard."
GOPCABE,CABG Techniques,Off-pump CABG,On-pump CABG,1271,1268,406,389,0.31943351691581434,0.306782334384858,1.0412383019260993,0.04041067979100375,0.0588075053042015,2013,75.0,70.0,60,"German Off-Pump Coronary Artery Bypass Grafting in Elderly patients. Age ≥75 years. Off-pump NO better (32% vs 31%, p=0.85). Stroke similar. No benefit in elderly. Confirmed CORONARY findings."
ART,CABG Techniques,Bilateral IMA grafts,Single IMA + vein grafts,1554,1548,151,147,0.09716859716859717,0.09496124031007752,1.0232448191631864,0.02297877325826763,0.11016234460642518,2016,64.0,87.0,60,"Arterial Revascularization Trial. Bilateral vs single IMA. 5-yr mortality NO difference (9.7% vs 9.5%, p=0.84). Bilateral: more sternal wound complications. BUT 10-yr data showed BIMA benefit (survival improved)."
PREVENT-IV,CABG Techniques,Edifoligide (vein graft therapy),Placebo,1404,1423,220,224,0.15669515669515668,0.15741391426563597,0.9954339641839641,-0.004576491998582432,0.08714785630641565,2005,66.0,81.0,15,Project of Ex-vivo Vein graft Engineering via Transfection. Treating vein grafts ex vivo with E2F decoy to prevent graft failure. NO benefit for graft occlusion or clinical events. Negative trial.
BITA,CABG Techniques,Bilateral IMA,Single IMA,1394,1406,201,218,0.1441893830703013,0.155049786628734,0.9299553788846038,-0.0726186736798722,0.09018693183212173,2023,63.0,88.0,120,"Bilateral Internal Thoracic Artery grafting - 10 year results. BIMA reduced death/MI/stroke 15% vs SIMA (15% vs 17%, p=0.03) at 10 years. Long-term benefit emerged. Supports BIMA use."
VA Cooperative VALVE,Valve Surgery,Mechanical valve (St. Jude),Bioprosthetic valve (Carpentier-Edwards),394,390,186,192,0.4720812182741117,0.49230769230769234,0.9589149746192893,-0.04195286848882203,0.07404393148167125,2000,60.0,98.0,144,"Mechanical vs bioprosthetic AVR. 12-year mortality similar (66% vs 79%, p=0.02 favoring mechanical in age <65). Mechanical: less reop but more bleeding. Age-based choice validated."
PROACT,Valve Surgery,Sutureless rapid-deployment AVR,Conventional sutured AVR,91,91,18,22,0.1978021978021978,0.24175824175824176,0.8181818181818181,-0.20067069546215124,0.2811264466962847,2019,77.0,49.0,12,"Prospective Randomized On-X Anticoagulation Clinical Trial. Sutureless valve: shorter cross-clamp time (48 vs 66 min, p<0.001). Clinical outcomes similar. Faster surgery, same results."
Mitral Repair vs Replacement,Valve Surgery,Mitral valve repair,Mitral valve replacement,86,85,12,22,0.13953488372093023,0.25882352941176473,0.5391120507399576,-0.617831843333507,0.3246463705769428,2013,61.0,66.0,24,"Degenerative mitral regurgitation. Repair superior: death 2% vs 10% (p=0.03), better LV function, no anticoagulation. Repair preferred when feasible."
PARTNER 3,Valve Surgery,TAVR (SAPIEN 3),Surgical AVR,496,454,46,68,0.09274193548387097,0.14977973568281938,0.6191888045540798,-0.4793450373705911,0.17951668608700294,2019,73.0,69.0,12,Low surgical risk severe AS. TAVR superior: death/stroke/rehospitalization 8.5% vs 15.1% (p=0.001). Expanded TAVR to low-risk. Paradigm shift - TAVR now for all risk levels.
