study_id,category,intervention,control,n_intervention,n_control,events_intervention,events_control,risk_intervention,risk_control,rr,log_rr,se_log_rr,year,mean_age,pct_male,mean_followup_months,notes
EMPA-REG OUTCOME,Cardio-Renal-Metabolic,Empagliflozin 10-25mg daily (SGLT2i),Placebo,4687,2333,490,282,0.10454448474503947,0.12087441063009001,0.8649017124474365,-0.1451394057347174,0.07032017394877176,2015,63.0,72.0,37,"Empagliflozin Cardiovascular Outcome Trial in T2D. 3-point MACE reduced 14% (HR 0.86, p=0.04). CV death reduced 38%, HF hosp reduced 35%. PARADIGM SHIFT: First SGLT2i showing CV benefit. Boehringer/Lilly. Changed diabetes care forever."
CANVAS,Cardio-Renal-Metabolic,Canagliflozin 100-300mg daily (SGLT2i),Placebo,5795,4347,585,500,0.10094909404659189,0.11502185415228894,0.8776514236410698,-0.1305057759753953,0.05750474282327792,2017,63.0,64.0,45,"Canagliflozin Cardiovascular Assessment Study. T2D with CV disease/risk. MACE reduced 14% (HR 0.86, p=0.02). HF hosp reduced 33%. But amputation risk doubled (controversial). Janssen. Confirmed SGLT2i CV benefit class effect."
DECLARE-TIMI 58,Cardio-Renal-Metabolic,Dapagliflozin 10mg daily (SGLT2i),Placebo,8582,8578,756,803,0.08809135399673736,0.09361156446724178,0.9410306781868157,-0.06077953824187294,0.048321642039967146,2019,64.0,63.0,50,"Dapagliflozin Effect on CV Events in T2D. CV death/HF hosp reduced 17% (HR 0.83, p<0.001). HF hosp reduced 27%. MACE neutral. Largest SGLT2i trial (17,160 patients). AstraZeneca. Established HF benefit even without prior HF."
DAPA-HF,Cardio-Renal-Metabolic,Dapagliflozin 10mg daily,Placebo,2373,2371,386,502,0.16266329540665825,0.21172501054407422,0.7682762418509695,-0.26360592059725635,0.06115173732098436,2019,66.0,77.0,18,"HFrEF with/without diabetes. REVOLUTIONARY: CV death/HF hosp reduced 26% (HR 0.74, p<0.001). Benefit in diabetics AND non-diabetics. First SGLT2i approved for HF. Changed HF treatment. AstraZeneca. NEJM."
EMPEROR-Reduced,Cardio-Renal-Metabolic,Empagliflozin 10mg daily,Placebo,1863,1867,361,462,0.1937734836285561,0.24745581146223888,0.78306297388423,-0.2445421598087237,0.06214658457836522,2020,67.0,76.0,16,"HFrEF with/without diabetes. CV death/HF hosp reduced 25% (HR 0.75, p<0.001). Confirmed DAPA-HF findings with different SGLT2i. Renal outcomes improved. Boehringer/Lilly. Established SGLT2i as cornerstone HF therapy."
EMPEROR-Preserved,Cardio-Renal-Metabolic,Empagliflozin 10mg daily,Placebo,2997,2991,415,511,0.1384718051384718,0.17084587094617185,0.810507180370194,-0.21009507865972143,0.060815971372242345,2021,72.0,45.0,26,"HFpEF (EF>40%) - historically no proven therapies. CV death/HF hosp reduced 21% (HR 0.79, p<0.001). BREAKTHROUGH for HFpEF. First therapy clearly beneficial. Boehringer/Lilly. FDA approved 2022."
LEADER,Cardio-Renal-Metabolic,Liraglutide 1.8mg SC daily (GLP-1 RA),Placebo,4668,4672,608,694,0.13024850042844902,0.1485445205479452,0.8768314034606828,-0.13144054743902103,0.051549912018673205,2016,64.0,64.0,45,"Liraglutide Effect and Action in Diabetes. T2D with CV disease/CKD/risk. MACE reduced 13% (HR 0.87, p=0.01). CV death reduced 22%. First GLP-1 RA showing CV benefit. Novo Nordisk. Changed diabetes guidelines."
SUSTAIN-6,Cardio-Renal-Metabolic,Semaglutide 0.5-1.0mg SC weekly (GLP-1 RA),Placebo,1648,1649,108,146,0.06553398058252427,0.08853850818677987,0.7401748902779625,-0.3008687824939349,0.12204650782788477,2016,65.0,61.0,25,"Semaglutide in T2D with CV disease/CKD. MACE reduced 26% (HR 0.74, p=0.02). Stroke reduced 39%. Retinopathy worsening increased (controversial). Novo Nordisk. Most potent GLP-1 RA for CV outcomes."
SELECT,Cardio-Renal-Metabolic,Semaglutide 2.4mg SC weekly,Placebo,8803,8801,569,701,0.06463705554924458,0.07965003976820816,0.8115131610398025,-0.20885467399535346,0.054376297030750566,2023,62.0,72.0,40,"Semaglutide in obesity WITHOUT diabetes + CVD. GAME-CHANGER: MACE reduced 20% (HR 0.80, p<0.001). Weight loss 9.4% vs 0.9%. Proves obesity treatment = CV prevention. FDA approved for CV risk reduction. Novo Nordisk. NEJM 2023."
CARE-HF,Advanced Rhythm Management,Cardiac Resynchronization Therapy (CRT) + medical therapy,Medical therapy alone,409,404,82,120,0.20048899755501223,0.297029702970297,0.6749796251018746,-0.3930727735994444,0.12493286190886385,2005,67.0,73.0,29,"HFrEF with wide QRS (≥120ms). Death reduced 36% (HR 0.64, p<0.001). Death/HF hosp reduced 37%. LANDMARK trial establishing CRT. Symptoms, QOL, LVEF all improved. Medtronic. Changed HF pacing forever."
MADIT-CRT,Advanced Rhythm Management,CRT-D (CRT + ICD),ICD alone,1089,731,187,185,0.1717171717171717,0.253077975376197,0.6785148785148786,-0.3878488714069201,0.09201486992143815,2009,65.0,75.0,29,"Mild HF (NYHA I-II), EF≤30%, QRS≥130ms. Death/HF event reduced 34% (HR 0.66, p<0.001). Extended CRT to milder HF. But benefit mainly QRS≥150ms. Left bundle branch block responded best. Boston Scientific."
COMPANION,Advanced Rhythm Management,CRT-D (CRT + ICD),Optimal medical therapy,595,308,105,77,0.17647058823529413,0.25,0.7058823529411765,-0.3483066942682157,0.13260240192078612,2004,67.0,68.0,16,"Advanced HF, wide QRS. CRT-D: death/hosp reduced 40% (p<0.001). Death reduced 36% (p=0.059). CRT-P (pacing only): death/hosp reduced 34%. Established both CRT-P and CRT-D. Guidant. NEJM landmark."
MADIT-II,Advanced Rhythm Management,ICD (Implantable Cardioverter-Defibrillator),Medical therapy,742,490,105,97,0.14150943396226415,0.19795918367346937,0.7148414705310251,-0.3356944804085676,0.12823635464608182,2002,64.0,85.0,20,"Prior MI, EF≤30%, no ICD yet. Death reduced 31% (HR 0.69, p=0.016). Extended ICD indication beyond VT/VF survivors to primary prevention. Changed sudden death prevention. Guidant/Boston Scientific. NEJM."
SCD-HeFT,Advanced Rhythm Management,ICD,Placebo,829,847,182,244,0.2195416164053076,0.28807556080283353,0.7620973323577686,-0.2716809986996471,0.08488790248532303,2005,60.0,77.0,46,"Sudden Cardiac Death in HF Trial. HFrEF (ischemic + non-ischemic). ICD reduced death 23% (HR 0.77, p=0.007). Amiodarone: NO benefit. Established ICD for non-ischemic HF too. Medtronic. NEJM."
