study_id,category,intervention,control,n_intervention,n_control,events_intervention,events_control,risk_intervention,risk_control,rr,log_rr,se_log_rr,year,mean_age,pct_male,mean_followup_months,notes
TIME-CHF,Biomarker-Guided Therapy,NT-proBNP-guided therapy,Symptom-guided therapy,251,248,102,111,0.4063745019920319,0.4475806451612903,0.9079358242704857,-0.09658158099486469,0.10390673110102353,2009,77.0,55.0,18,Trial of Intensified vs standard Medical therapy in Elderly with CHF. NT-proBNP-guided: NO significant benefit in elderly patients (41% vs 45% death/HF hosp). Age >75 years. May benefit younger patients. JAMA.
BATTLESCARRED,Biomarker-Guided Therapy,NT-proBNP-guided therapy,Standard care,182,182,58,73,0.31868131868131866,0.4010989010989011,0.7945205479452054,-0.23001643060197186,0.14124800337817217,2013,64.0,76.0,12,"Biomarker-Assisted Treatment To Lessen Serial Cardiac Readmissions. NT-proBNP-guided: Reduced HF hospitalization 32% vs 40% (20% relative reduction). Younger patients, mean age 64. JACC Heart Failure."
GUIDE-IT,Biomarker-Guided Therapy,NT-proBNP-guided therapy (target <1000 pg/mL),Usual care,446,448,164,164,0.36771300448430494,0.36607142857142855,1.0044843049327354,0.004474280394921107,0.08786823446336534,2017,63.0,78.0,15,Guiding Evidence Based Therapy Using Biomarker Intensified Treatment. NT-proBNP-guided: NO benefit (37% vs 37% death/HF hosp). STOPPED EARLY for futility. Both groups achieved low BNP. JAMA.
PROTECT,Biomarker-Guided Therapy,BNP-guided therapy,Standard care,151,150,29,52,0.19205298013245034,0.3466666666666667,0.5539989811512991,-0.5905924313136218,0.20105806282887745,2010,64.0,72.0,10,"Pro-B-Type Natriuretic Peptide-Guided Therapy. BNP-guided: Reduced death/HF hosp 44% (19% vs 35%, HR 0.55). Younger patients benefited. Eur J Heart Fail."
IMPROVE-IT Biomarker,Biomarker-Guided Therapy,High-sensitivity troponin-guided therapy,Standard care,285,280,48,62,0.16842105263157894,0.22142857142857142,0.7606112054329371,-0.2736329512366016,0.17286458599188184,2018,67.0,71.0,12,"hs-Troponin-guided therapy post-ACS. Troponin-guided: Reduced MACE (17% vs 22%, HR 0.74). Intensive therapy for elevated troponin even if no ischemia. Early invasive approach. Circulation."
PRIMA II,Biomarker-Guided Therapy,NT-proBNP-guided therapy,Standard care,105,103,32,41,0.3047619047619048,0.39805825242718446,0.7656213704994194,-0.26706752583246873,0.1908080095660343,2018,71.0,63.0,24,Can PRognostic-guided therapy in patients with Chronic Heart Failure IMprove outcomeS? NT-proBNP-guided: Reduced death/HF hosp 30% vs 40% (26% relative reduction). Long-term follow-up. Eur J Heart Fail.
STARBRITE,Biomarker-Guided Therapy,Multimarker-guided therapy (BNP + ST2 + Galectin-3),BNP-only guided,134,133,46,52,0.34328358208955223,0.39097744360902253,0.8780137772675086,-0.13009299382148995,0.16120923083343106,2020,69.0,68.0,12,"Strategies Using Novel Biomarkers in HF. Multi-marker: NO additional benefit vs BNP alone (34% vs 39% death/HF hosp, p=0.38). BNP sufficient, additional markers didn't improve outcomes. JACC Heart Failure."
PADIS-PE,Additional Anticoagulation Strategies,Extended warfarin (18 months),Standard warfarin (6 months),184,187,12,28,0.06521739130434782,0.1497326203208556,0.43555900621118016,-0.8311250011416025,0.3290368411835302,2015,59.0,56.0,42,"Prolongation of Anticoagulation for Idiopathic PE. Extended: Reduced recurrent VTE 3.3% vs 7.4% during treatment. BUT after stopping, rates equalized. No mortality benefit. NEJM."
HOKUSAI-VTE Cancer,Additional Anticoagulation Strategies,Edoxaban,Dalteparin LMWH,522,524,56,71,0.10727969348659004,0.13549618320610687,0.7917543575630025,-0.2335040898677628,0.1676828677610535,2018,64.0,48.0,12,"Edoxaban vs Dalteparin for Cancer-Associated VTE. Edoxaban: Non-inferior for recurrent VTE (7.9% vs 11.3%), BUT increased bleeding in GI cancers. DOACs option for cancer VTE (avoid GI/GU cancers). NEJM."
SELECT-D,Additional Anticoagulation Strategies,Rivaroxaban,Dalteparin LMWH,203,203,8,18,0.03940886699507389,0.08866995073891626,0.4444444444444444,-0.8109302162163288,0.4131626057701581,2018,67.0,45.0,6,"Anticoagulation Therapy in SELECTeD Cancer Patients at Risk of Recurrence of VTE. Rivaroxaban: Reduced recurrent VTE (4% vs 11%, HR 0.43) BUT increased major bleeding 6% vs 4%. Pilot Cancer VTE trial. Lancet Haematology."
CARAVAGGIO,Additional Anticoagulation Strategies,Apixaban,Dalteparin LMWH,576,579,32,46,0.05555555555555555,0.07944732297063903,0.6992753623188406,-0.3577106768122644,0.22254416102634209,2020,67.0,51.0,6,Apixaban for Cancer-Associated VTE. Apixaban: Non-inferior for recurrent VTE (5.6% vs 7.9%) with NO increase in major bleeding (3.8% vs 4.0%). BEST DOAC data for cancer VTE. NEJM.
WARFASA,Additional Anticoagulation Strategies,Aspirin 100mg,Placebo,205,197,14,20,0.06829268292682927,0.10152284263959391,0.6726829268292683,-0.39648119433915197,0.33387779278667806,2012,62.0,62.0,24,"Warfarin and Aspirin. After completing anticoag for unprovoked VTE, aspirin reduced recurrence 6.6% vs 11.2% (40% reduction, HR 0.58). Low-cost option for extended prophylaxis. NEJM."
ASPIRE,Additional Anticoagulation Strategies,Aspirin 100mg,Placebo,411,411,57,73,0.1386861313868613,0.17761557177615572,0.7808219178082192,-0.24740817331384096,0.16240784998714597,2014,58.0,60.0,37,"Aspirin to Prevent Recurrent VTE. After unprovoked VTE, aspirin reduced recurrence 4.8% vs 6.5%/year (27% reduction, HR 0.74). Confirmed WARFASA findings. Low bleeding risk. NEJM."
MAGELLAN,Additional Anticoagulation Strategies,Rivaroxaban 10mg (35 days),Enoxaparin (10 days),3997,3991,117,161,0.029271953965474107,0.040340766725131545,0.7256171942621563,-0.32073268384929643,0.11940451106228159,2013,71.0,44.0,1,"Multicenter, randomized, parallel group efficacy and safety study for prevention of VTE in hospitalized acutely ill medical patients comparing rivaroxaban with enoxaparin. Extended rivaroxaban: Reduced VTE 35 days (2.7% vs 4.4%) BUT increased bleeding. NOT approved. NEJM."
