study_id,category,intervention,control,n_intervention,n_control,events_intervention,events_control,risk_intervention,risk_control,rr,log_rr,se_log_rr,year,mean_age,pct_male,mean_followup_months,notes
FRISC-II,NSTEMI/Unstable Angina,Early invasive,Conservative,1222,1235,127,159,0.1039279869067103,0.12874493927125505,0.8072393951558946,-0.21413500643110325,0.11196105001015842,1999,66.0,66.0,24,Fast Revascularisation during InStability in Coronary artery disease
TACTICS-TIMI 18,NSTEMI/Unstable Angina,Early invasive,Conservative,1114,1106,95,118,0.08527827648114901,0.10669077757685352,0.7993031676961933,-0.2240149712700732,0.1311452128765296,2001,62.0,65.0,6,Treat Angina with Aggrastat and determine Cost of Therapy
RITA-3,NSTEMI/Unstable Angina,Early invasive,Conservative,895,915,76,94,0.08491620111731843,0.10273224043715846,0.8265779151313444,-0.19046109498300684,0.14692167300492107,2002,62.0,69.0,12,Randomised Intervention Trial of unstable Angina
ICTUS,NSTEMI/Unstable Angina,Early invasive,Selective invasive,604,604,67,64,0.11092715231788079,0.10596026490066225,1.046875,0.0458095360312942,0.16504276674905405,2005,62.0,73.0,12,Invasive versus Conservative Treatment in Unstable coronary Syndromes
VINO,NSTEMI/Unstable Angina,Early invasive,Conservative,69,68,4,10,0.057971014492753624,0.14705882352941177,0.39420289855072466,-0.9308895312953077,0.5663932944729047,2002,58.0,79.0,6,Value of first day angiography
TRUCS,NSTEMI/Unstable Angina,Early invasive,Conservative,150,150,12,18,0.08,0.12,0.6666666666666667,-0.4054651081081643,0.35433819375782166,2000,60.0,70.0,6,Treatment of Refractory Unstable angina in geographically isolated areas
ISAR-COOL,NSTEMI/Unstable Angina,Immediate invasive,Delayed invasive,205,205,24,19,0.11707317073170732,0.09268292682926829,1.2631578947368423,0.23361485118150527,0.2907613248921862,2003,66.0,71.0,1,Intracoronary Stenting with Antithrombotic Regimen Cooling Off
TIMACS,NSTEMI/Unstable Angina,Early invasive (<24h),Delayed invasive,1593,1586,148,152,0.09290646578782172,0.09583858764186633,0.9694056232860871,-0.031072154797416564,0.10989740993653994,2009,65.0,68.0,6,Timing of Intervention in Acute Coronary Syndromes
ELISA,NSTEMI/Unstable Angina,Immediate invasive,Delayed invasive (>24h),68,74,5,8,0.07352941176470588,0.10810810810810811,0.6801470588235294,-0.38544624121767246,0.5447757374677633,2003,65.0,72.0,1,Early or Late Intervention in unStable Angina
OPTIMA,NSTEMI/Unstable Angina,Immediate invasive,Delayed invasive (25h),71,71,4,6,0.056338028169014086,0.08450704225352113,0.6666666666666667,-0.4054651081081643,0.6232957986238633,2003,63.0,74.0,6,Optimal Timing of PCI in Unstable Angina
CURE,NSTEMI/Unstable Angina,Clopidogrel + ASA,Placebo + ASA,6259,6303,582,719,0.092986100015977,0.11407266381088371,0.815147967177612,-0.2043856274012002,0.05282621605177273,2001,64.0,62.0,9,Clopidogrel in Unstable angina to prevent Recurrent Events
CREDO,NSTEMI/Unstable Angina,Clopidogrel pretreatment,No pretreatment,1053,1063,109,129,0.10351377018043685,0.1213546566321731,0.8529855635798789,-0.15901265592455593,0.12262075078234075,2002,61.0,70.0,12,Clopidogrel for Reduction of Events During Observation
TRILOGY ACS,NSTEMI/Unstable Angina,Prasugrel,Clopidogrel,3555,3564,557,571,0.15668073136427565,0.16021324354657687,0.9779511849076681,-0.02229552337536753,0.05463303080977754,2012,75.0,47.0,17,Medically managed NSTE-ACS
PLATO,NSTEMI/Unstable Angina,Ticagrelor,Clopidogrel,9333,9291,822,929,0.08807457409193185,0.09998923689592078,0.8808405467041323,-0.12687866068209283,0.04558720820980389,2009,62.0,72.0,12,ACS with or without ST elevation
TRACER,NSTEMI/Unstable Angina,Vorapaxar,Placebo,6473,6502,977,1004,0.15093465162984707,0.15441402645339897,0.9774672359534518,-0.02279050589055131,0.04136750760987381,2012,62.0,71.0,18,PAR-1 antagonist in NSTE-ACS
