study_id,category,intervention,control,n_intervention,n_control,events_intervention,events_control,risk_intervention,risk_control,rr,log_rr,se_log_rr,year,mean_age,pct_male,mean_followup_months,notes
DANAMI-2,STEMI Management,Primary PCI,Fibrinolysis,790,782,63,85,0.07974683544303797,0.10869565217391304,0.7336708860759493,-0.3096947350145399,0.15840810140912004,2003,63.0,76.0,36,"Danish trial, transfer for primary PCI"
PRAGUE-2,STEMI Management,Primary PCI,Fibrinolysis,429,421,59,78,0.13752913752913754,0.18527315914489312,0.7423047038431654,-0.2979954680295078,0.15831413746020712,2003,61.0,74.0,12,Primary PCI with transfer vs fibrinolysis
CAPTIM,STEMI Management,Primary PCI,Pre-hospital fibrinolysis,419,421,36,38,0.08591885441527446,0.09026128266033254,0.9518904660218566,-0.04930530751003207,0.22210726123762645,2002,59.0,84.0,12,Early presentation (<2 hours)
PAMI,STEMI Management,Primary PCI,t-PA,195,200,9,13,0.046153846153846156,0.065,0.7100591715976331,-0.34240697214102755,0.42178902653575867,1993,58.0,77.0,6,First major trial of primary PCI
Zijlstra 1993,STEMI Management,Primary PCI,Streptokinase,152,149,7,13,0.046052631578947366,0.087248322147651,0.527834008097166,-0.6389734233070408,0.4544115568686888,1993,60.0,79.0,6,Dutch trial
Grines 1993,STEMI Management,Primary PCI,t-PA,200,205,12,20,0.06,0.0975609756097561,0.615,-0.4861330111756192,0.3513620419920819,1993,59.0,75.0,6,Multi-center US trial
GUSTO-IIb angioplasty,STEMI Management,Primary PCI,t-PA,565,573,31,41,0.05486725663716814,0.07155322862129145,0.7668033671487158,-0.2655248766508629,0.2305063908356187,1997,62.0,72.0,12,GUSTO-IIb substudy
SHOCK,STEMI Management,Early revascularization,Initial medical stabilization,152,150,69,85,0.45394736842105265,0.5666666666666667,0.8010835913312694,-0.22178997864307767,0.11406947650644159,1999,66.0,67.0,6,Cardiogenic shock complicating AMI
STREAM,STEMI Management,Primary PCI,Pre-hospital fibrinolysis,939,943,51,55,0.054313099041533544,0.05832449628844114,0.9312227708393843,-0.0712567490829505,0.1888498165360664,2013,60.0,76.0,12,Cannot reach cath lab within 1 hour
PRAGUE-1,STEMI Management,Primary PCI,Streptokinase,101,99,14,17,0.13861386138613863,0.1717171717171717,0.8072218986604544,-0.2141566811476269,0.33203930586651353,2000,62.0,70.0,12,Community hospital transfer
AIR-PAMI,STEMI Management,Primary PCI,t-PA,71,67,4,6,0.056338028169014086,0.08955223880597014,0.6291079812206574,-0.4634523657585136,0.6226209011028178,2000,57.0,80.0,1,Air transport for primary PCI
WEST,STEMI Management,Primary PCI,TNK,31,33,2,4,0.06451612903225806,0.12121212121212122,0.532258064516129,-0.6306268235786113,0.8291193552081876,2006,61.0,71.0,12,Rural areas
TAPAS,STEMI Management,Thrombus aspiration + PCI,PCI alone,535,536,25,40,0.04672897196261682,0.07462686567164178,0.6261682242990655,-0.46813621507094,0.24751801849502653,2008,61.0,77.0,12,Thrombus aspiration during primary PCI
TASTE,STEMI Management,Thrombus aspiration + PCI,PCI alone,3621,3623,198,203,0.05468102734051367,0.05603091360750759,0.975908187461483,-0.024386767217815946,0.0970795151790164,2013,65.0,74.0,12,Largest thrombus aspiration trial
TOTAL,STEMI Management,Routine aspiration + PCI,PCI alone,5033,5030,207,198,0.04112855155970594,0.03936381709741551,1.0448313855824287,0.043855518888258754,0.09738545637293962,2015,60.0,79.0,12,"Showed no benefit, increased stroke"
