study_id,category,intervention,control,n_intervention,n_control,events_intervention,events_control,risk_intervention,risk_control,rr,log_rr,se_log_rr,year,mean_age,pct_male,mean_followup_months,notes
TRILUMINATE,Other Valvular Disease,TriClip edge-to-edge repair,Medical therapy,115,115,28,45,0.24347826086956523,0.391304347826087,0.6222222222222222,-0.4744579795951158,0.2013583958733329,2021,78.0,48.0,12,"Severe TR, transcatheter repair reduces TR and improves QOL"
CLASP TR,Other Valvular Disease,PASCAL transcatheter repair,Medical therapy alone,87,87,21,32,0.2413793103448276,0.367816091954023,0.65625,-0.42121346507630353,0.23639065521276678,2022,77.0,44.0,12,"Severe TR, PASCAL device safe and effective"
Ben Farhat 1998,Other Valvular Disease,Balloon valvuloplasty,Open commissurotomy,226,234,31,36,0.13716814159292035,0.15384615384615385,0.8915929203539822,-0.11474561788554834,0.22657793197780887,1998,31.0,28.0,84,"Rheumatic MS, balloon as effective as surgery"
Reyes 1994,Other Valvular Disease,Balloon valvuloplasty,Closed commissurotomy,30,30,4,6,0.13333333333333333,0.2,0.6666666666666666,-0.40546510810816444,0.5916079783099616,1994,35.0,25.0,24,"Rheumatic MS, percutaneous approach preferred"
NOTION,Other Valvular Disease,TAVI (CoreValve),Surgical AVR,145,135,35,38,0.2413793103448276,0.2814814814814815,0.8575317604355717,-0.15369706221911708,0.20145287020434194,2015,79.0,54.0,24,"Lower-risk AS, all-comers design, non-inferior"
UK-TAVI,Other Valvular Disease,TAVI,Surgical AVR,178,173,42,47,0.23595505617977527,0.27167630057803466,0.8685154195553431,-0.1409699392209965,0.1835423526200575,2013,78.0,56.0,12,"High-risk AS, UK multicenter trial"
Evolut Low Risk,Other Valvular Disease,TAVI (Evolut),Surgical AVR,734,734,42,60,0.05722070844686648,0.08174386920980926,0.7,-0.35667494393873245,0.19429718174966795,2019,74.0,67.0,24,"Low-risk AS, TAVI superior to surgery"
Klodas 1997,Other Valvular Disease,Early AVR,Delayed AVR,86,88,12,21,0.13953488372093023,0.23863636363636365,0.5847176079734219,-0.536626269710724,0.328573945424771,1997,53.0,78.0,60,"Severe AR, early surgery improves outcomes"
EASE,Other Valvular Disease,Early surgery (<48h),Conventional treatment,37,39,4,11,0.10810810810810811,0.28205128205128205,0.3832923832923833,-0.9589571781930579,0.5368808417526539,2012,47.0,68.0,6,"Left-sided IE with embolic risk, early surgery beneficial"
Kang 2012,Other Valvular Disease,Early surgery,Conventional treatment,38,38,3,9,0.07894736842105263,0.23684210526315788,0.3333333333333333,-1.0986122886681098,0.6259495710495183,2012,48.0,63.0,6,"IE with large vegetation, early surgery reduces embolic events"
