study_id,category,intervention,control,n_intervention,n_control,events_intervention,events_control,risk_intervention,risk_control,rr,log_rr,se_log_rr,year,mean_age,pct_male,mean_followup_months,notes
WOSCOPS,Primary Prevention Statins,Pravastatin 40mg,Placebo,3302,3293,174,248,0.052695336159903086,0.07531126632250228,0.699700572478068,-0.35710278905416215,0.09577506607035169,1995,55.0,100.0,58,"West of Scotland, men 45-64 with hypercholesterolemia"
AFCAPS/TexCAPS,Primary Prevention Statins,Lovastatin 20-40mg,Placebo,3304,3301,116,183,0.035108958837772396,0.05543774613753408,0.6333042247185064,-0.456804364522732,0.11610154429528016,1998,58.0,85.0,63,"Air Force/Texas, average cholesterol, low HDL"
ASCOT-LLA,Primary Prevention Statins,Atorvastatin 10mg,Placebo,5168,5137,154,195,0.02979876160990712,0.03795989877360327,0.7850063507184251,-0.2420634711452875,0.10598842871814969,2003,63.0,81.0,40,"HTN + ≥3 CV risk factors, stopped early for benefit"
JUPITER,Primary Prevention Statins,Rosuvastatin 20mg,Placebo,8901,8901,142,251,0.0159532636782384,0.028199078755196047,0.5657370517928287,-0.5696258815305231,0.10393085880297345,2008,66.0,62.0,24,"LDL <130 but hsCRP ≥2, dramatic 44% reduction"
MEGA,Primary Prevention Statins,Pravastatin 10-20mg,Diet alone,3866,3966,111,157,0.028711846870150024,0.039586485123550175,0.7252941699809873,-0.32117795472450883,0.12193288012728742,2006,58.0,32.0,63,"Japanese primary prevention, low-dose statin effective"
ALLHAT-LLT,Primary Prevention Statins,Pravastatin 40mg,Usual care,5170,5185,587,616,0.11353965183752418,0.11880424300867888,0.9556868421713683,-0.045324990544270374,0.05422791262455428,2002,66.0,51.0,58,"Hypertensive, age ≥55, no benefit (contamination)"
PROSPER,Primary Prevention Statins,Pravastatin 40mg,Placebo,2891,2913,408,473,0.14112763749567625,0.16237555784414692,0.869143357346522,-0.14024719914468262,0.062257172429564606,2002,75.0,48.0,40,"Elderly (70-82 years), primary + secondary prevention"
CARDS,Primary Prevention Statins,Atorvastatin 10mg,Placebo,1428,1410,61,95,0.042717086834733894,0.0673758865248227,0.6340114993365767,-0.4556881869545453,0.1597193114254618,2004,62.0,68.0,47,"Type 2 diabetes without high LDL, 37% reduction"
ASPEN,Primary Prevention Statins,Atorvastatin 10mg,Placebo,959,960,116,121,0.12095933263816476,0.12604166666666666,0.9596773498565139,-0.04115814491193262,0.12165826289591972,2006,61.0,58.0,48,"Type 2 diabetes, primary prevention, neutral"
HPS,Primary Prevention Statins,Simvastatin 40mg,Placebo,10269,10267,1212,1437,0.11802512416009349,0.13996298821466835,0.8432595335780654,-0.17048049934909532,0.0364169854843432,2002,64.0,75.0,60,"Mixed primary/secondary, vascular disease or diabetes"
IMPROVE-IT,Non-Statin Lipid Lowering,Simvastatin-ezetimibe,Simvastatin alone,9067,9077,2742,2960,0.3024153523767509,0.3260989313649884,0.9273730248391108,-0.07539939431527509,0.021956240987903546,2015,64.0,76.0,72,"Post-ACS, ezetimibe adds 6.4% relative benefit"
SHARP,Non-Statin Lipid Lowering,Simvastatin-ezetimibe,Placebo,4650,4620,526,619,0.11311827956989247,0.13398268398268398,0.8442753660951586,-0.16927657445250377,0.055544086902373675,2011,62.0,63.0,58,"Chronic kidney disease, 17% reduction"
FIELD,Non-Statin Lipid Lowering,Fenofibrate 200mg,Placebo,4895,4900,668,713,0.13646578140960164,0.14551020408163265,0.9378433785512595,-0.06417231774354291,0.049911509770992436,2005,62.0,63.0,60,"Type 2 diabetes, neutral primary outcome, benefit for microvascular"
ACCORD-Lipid,Non-Statin Lipid Lowering,Simvastatin + fenofibrate,Simvastatin + placebo,2765,2753,288,310,0.10415913200723327,0.11260443152924082,0.9250002916642361,-0.07796122615707385,0.07728599432837105,2010,62.0,69.0,58,"Type 2 diabetes, fibrate adds no benefit to statin"
BIP,Non-Statin Lipid Lowering,Bezafibrate 400mg,Placebo,1548,1542,211,236,0.13630490956072353,0.15304798962386512,0.890602417553541,-0.11585717157594115,0.08764771169764374,2000,60.0,91.0,75,"CAD with low HDL, neutral but benefit in high TG subgroup"
VA-HIT,Non-Statin Lipid Lowering,Gemfibrozil 1200mg,Placebo,1264,1267,219,275,0.17325949367088608,0.2170481452249408,0.7982537399309552,-0.2253287622357341,0.08137670710272847,1999,64.0,100.0,62,"CAD with low HDL, 22% reduction"
AIM-HIGH,Non-Statin Lipid Lowering,Niacin + statin,Placebo + statin,1718,1696,282,274,0.16414435389988358,0.1615566037735849,1.0160176066211772,0.01589067835769107,0.07761468616709802,2011,64.0,85.0,36,"CAD with low HDL on statin, niacin adds no benefit"
HPS2-THRIVE,Non-Statin Lipid Lowering,Niacin-laropiprant + statin,Placebo + statin,12838,12835,1579,1563,0.12299423586228385,0.12177639267627581,1.0100006508588697,0.00995097526768292,0.033426064321635904,2013,65.0,84.0,46,"Vascular disease, niacin no benefit, increased adverse events"
REDUCE-IT,Non-Statin Lipid Lowering,Icosapent ethyl 4g,Placebo,4089,4090,705,901,0.1724137931034483,0.22029339853300733,0.7826552872287498,-0.245062926123864,0.04515816958710269,2019,64.0,71.0,58,"High TG on statin, EPA reduces events by 25%"
STRENGTH,Non-Statin Lipid Lowering,Omega-3 carboxylic acid,Corn oil,6539,6534,785,795,0.12004893714635265,0.1216712580348944,0.986666358885872,-0.013423332272183983,0.047178096566049516,2020,63.0,70.0,42,"High TG on statin, omega-3 no benefit"
