study_id,category,intervention,control,n_intervention,n_control,events_intervention,events_control,risk_intervention,risk_control,rr,log_rr,se_log_rr,year,mean_age,pct_male,mean_followup_months,notes
WOSCOPS,Primary Prevention Statins,Pravastatin 40mg,Placebo,3302,3293,174,248,0.052695336159903086,0.07531126632250228,0.699700572478068,-0.35710278905416215,0.09577506607035169,1995,55.0,100.0,58,"West of Scotland, men 45-64 with hypercholesterolemia"
AFCAPS/TexCAPS,Primary Prevention Statins,Lovastatin 20-40mg,Placebo,3304,3301,116,183,0.035108958837772396,0.05543774613753408,0.6333042247185064,-0.456804364522732,0.11610154429528016,1998,58.0,85.0,63,"Air Force/Texas, average cholesterol, low HDL"
ASCOT-LLA,Primary Prevention Statins,Atorvastatin 10mg,Placebo,5168,5137,154,195,0.02979876160990712,0.03795989877360327,0.7850063507184251,-0.2420634711452875,0.10598842871814969,2003,63.0,81.0,40,"HTN + ≥3 CV risk factors, stopped early for benefit"
JUPITER,Primary Prevention Statins,Rosuvastatin 20mg,Placebo,8901,8901,142,251,0.0159532636782384,0.028199078755196047,0.5657370517928287,-0.5696258815305231,0.10393085880297345,2008,66.0,62.0,24,"LDL <130 but hsCRP ≥2, dramatic 44% reduction"
MEGA,Primary Prevention Statins,Pravastatin 10-20mg,Diet alone,3866,3966,111,157,0.028711846870150024,0.039586485123550175,0.7252941699809873,-0.32117795472450883,0.12193288012728742,2006,58.0,32.0,63,"Japanese primary prevention, low-dose statin effective"
ALLHAT-LLT,Primary Prevention Statins,Pravastatin 40mg,Usual care,5170,5185,587,616,0.11353965183752418,0.11880424300867888,0.9556868421713683,-0.045324990544270374,0.05422791262455428,2002,66.0,51.0,58,"Hypertensive, age ≥55, no benefit (contamination)"
PROSPER,Primary Prevention Statins,Pravastatin 40mg,Placebo,2891,2913,408,473,0.14112763749567625,0.16237555784414692,0.869143357346522,-0.14024719914468262,0.062257172429564606,2002,75.0,48.0,40,"Elderly (70-82 years), primary + secondary prevention"
CARDS,Primary Prevention Statins,Atorvastatin 10mg,Placebo,1428,1410,61,95,0.042717086834733894,0.0673758865248227,0.6340114993365767,-0.4556881869545453,0.1597193114254618,2004,62.0,68.0,47,"Type 2 diabetes without high LDL, 37% reduction"
ASPEN,Primary Prevention Statins,Atorvastatin 10mg,Placebo,959,960,116,121,0.12095933263816476,0.12604166666666666,0.9596773498565139,-0.04115814491193262,0.12165826289591972,2006,61.0,58.0,48,"Type 2 diabetes, primary prevention, neutral"
HPS,Primary Prevention Statins,Simvastatin 40mg,Placebo,10269,10267,1212,1437,0.11802512416009349,0.13996298821466835,0.8432595335780654,-0.17048049934909532,0.0364169854843432,2002,64.0,75.0,60,"Mixed primary/secondary, vascular disease or diabetes"
