study_id,category,intervention,control,n_intervention,n_control,events_intervention,events_control,risk_intervention,risk_control,rr,log_rr,se_log_rr,year,mean_age,pct_male,mean_followup_months,notes
UKPDS 34,Other Glucose-Lowering Agents,Metformin,Conventional diet,342,411,78,114,0.22807017543859648,0.2773722627737226,0.822253000923361,-0.19570714427127436,0.12741811493094765,1998,53.0,59.0,120,Overweight newly diagnosed T2DM. 32% mortality reduction
SPREAD-DIMCAD,Other Glucose-Lowering Agents,Metformin + insulin,Insulin alone,126,128,18,28,0.14285714285714285,0.21875,0.6530612244897959,-0.42608439531090014,0.27481054079735245,2009,61.0,74.0,60,T2DM + CAD. Metformin addition beneficial
PROactive,Other Glucose-Lowering Agents,Pioglitazone,Placebo,2605,2633,514,572,0.19731285988483685,0.2172426889479681,0.9082600700642927,-0.09622452061579075,0.0541304440220411,2005,62.0,66.0,35,T2DM + macrovascular disease. 10% MACE reduction (secondary endpoint)
IRIS,Other Glucose-Lowering Agents,Pioglitazone,Placebo,1939,1937,175,228,0.09025270758122744,0.11770779556014456,0.7667521692317436,-0.26559164686658265,0.09522740470962494,2016,64.0,63.0,56,Stroke/TIA + insulin resistance. 24% reduction in stroke/MI
RECORD,Other Glucose-Lowering Agents,Rosiglitazone,Metformin or sulfonylurea,2220,2227,154,165,0.06936936936936937,0.07409070498428379,0.9362762762762763,-0.06584467909590894,0.10795660020582243,2009,58.0,60.0,66,T2DM on metformin/SU. CV safety confirmed despite earlier concerns
ACE,Other Glucose-Lowering Agents,Acarbose,Placebo,714,715,47,59,0.06582633053221289,0.08251748251748252,0.7977258700090206,-0.22599026184123752,0.18821951722486885,2017,64.0,74.0,60,CHD + impaired glucose tolerance. 18% MACE reduction
ACCORD-Glucose,Other Glucose-Lowering Agents,Intensive (HbA1c <6%),Standard (HbA1c 7-7.9%),5128,5123,371,356,0.07234789391575663,0.06949053289088425,1.0411187093551157,0.04029581709410097,0.07151363945005425,2008,62.0,62.0,42,High CV risk. STOPPED EARLY - increased mortality with intensive control
ADVANCE-Glucose,Other Glucose-Lowering Agents,Intensive (HbA1c <6.5%),Standard,5571,5569,498,533,0.08939149165320409,0.09570838570659006,0.933998530988168,-0.0682804135723386,0.059372875099084094,2008,66.0,58.0,60,"High CV risk. Microvascular benefit, no macrovascular benefit"
VADT,Other Glucose-Lowering Agents,Intensive (HbA1c 6.9%),Standard (HbA1c 8.4%),892,899,235,264,0.26345291479820626,0.2936596218020022,0.8971370091044978,-0.10854668711054642,0.07622187777371264,2009,60.0,97.0,67,"Veterans with T2DM. No CV benefit, more hypoglycemia"
UKPDS 33,Other Glucose-Lowering Agents,Intensive glucose control,Conventional,2729,1138,450,213,0.16489556614144374,0.18717047451669597,0.8809913345960703,-0.12670748896712203,0.07531194254169689,1998,54.0,60.0,120,"Newly diagnosed T2DM. Microvascular benefit, trend for macrovascular"
UGDP,Other Glucose-Lowering Agents,Tolbutamide,Placebo,204,205,30,21,0.14705882352941177,0.1024390243902439,1.435574229691877,0.3615649292329243,0.26678150495785763,1970,55.0,45.0,96,Historical trial - raised CV safety concerns for sulfonylureas
TOSCA.IT,Other Glucose-Lowering Agents,Pioglitazone,Sulfonylurea,1535,1493,105,127,0.06840390879478828,0.08506363027461487,0.80414988843007,-0.21796959878317512,0.12679340325674823,2017,63.0,68.0,57,T2DM on metformin. TZD vs SU - similar CV outcomes
NAVIGATOR,Other Glucose-Lowering Agents,Nateglinide,Placebo,4645,4661,658,694,0.14165769644779333,0.14889508689122505,0.9513926846443296,-0.049828384056685195,0.05030752966936213,2010,64.0,51.0,60,Impaired glucose tolerance + CVD. No CV benefit
STENO-2,Other Glucose-Lowering Agents,Intensive multifactorial,Conventional,80,80,24,44,0.3,0.55,0.5454545454545454,-0.6061358035703156,0.1984790653795493,2003,55.0,81.0,95,T2DM + microalbuminuria. Intensive multifactorial reduced CV events by 53%
Look AHEAD,Other Glucose-Lowering Agents,Intensive lifestyle,Standard education,2570,2575,403,418,0.15680933852140078,0.16233009708737864,0.965990542326811,-0.03460123536950228,0.06400218357870739,2013,59.0,41.0,120,Overweight/obese T2DM. Weight loss no CV benefit (but many other benefits)
