study_id,category,intervention,control,n_intervention,n_control,events_intervention,events_control,risk_intervention,risk_control,rr,log_rr,se_log_rr,year,mean_age,pct_male,mean_followup_months,notes
SAVOR-TIMI 53,DPP-4 Inhibitors,Saxagliptin,Placebo,8280,8212,613,609,0.0740338164251207,0.074159766195811,0.9983016428293788,-0.0016998010141668,0.0550528067690007,2013,65.0,67.0,25,Type 2 DM + CVD or high CV risk. Neutral for MACE but increased HF hospitalization
EXAMINE,DPP-4 Inhibitors,Alogliptin,Placebo,2701,2679,305,316,0.1129211403184005,0.1179544606196341,0.957328275041124,-0.0436089212275074,0.0754966133685087,2013,61.0,68.0,18,Recent ACS. CV safety confirmed (non-inferior)
TECOS,DPP-4 Inhibitors,Sitagliptin,Placebo,7332,7339,839,851,0.1144298963447899,0.1159558522959531,0.9868401989123544,-0.0132471585207006,0.0457639209941133,2015,66.0,71.0,36,Established CVD. Neutral - CV safe without HF signal
CARMELINA,DPP-4 Inhibitors,Linagliptin,Placebo,3494,3485,434,420,0.1242129364625071,0.1205164992826398,1.0306716275519938,0.0302106553236131,0.0641244951461955,2019,66.0,63.0,28,High CV risk + CKD. CV safe
CAROLINA,DPP-4 Inhibitors,Linagliptin,Glimepiride,3023,3010,356,362,0.1177638107839894,0.120265780730897,0.979196327237039,-0.0210231180102773,0.0700599498169022,2019,64.0,63.0,76,Head-to-head vs sulfonylurea. Non-inferior for CV safety
ORIGIN,Insulin Therapy,Insulin glargine,Standard care,6264,6273,574,592,0.0916347381864623,0.0943727084329666,0.9709876902764836,-0.0294414881383349,0.0557879351479659,2012,64.0,65.0,76,Impaired glucose tolerance or early T2DM. Neutral for CV
DEVOTE,Insulin Therapy,Insulin degludec,Insulin glargine,3818,3819,325,356,0.0851231011000523,0.0932181199266823,0.9131604581491576,-0.0908436655824695,0.0732266751623653,2017,65.0,61.0,24,"High CV risk. Degludec non-inferior, less severe hypoglycemia"
DIGAMI,Insulin Therapy,Insulin-glucose infusion,Standard care,306,314,102,138,0.3333333333333333,0.4394904458598726,0.7584541062801932,-0.2764729879170611,0.1029446994663461,1995,68.0,65.0,42,Diabetes + AMI. Intensive insulin reduced mortality by 29%
DIGAMI-2,Insulin Therapy,Acute insulin + long-term,Standard glucose control,474,473,93,92,0.1962025316455696,0.1945031712473573,1.0087369290038524,0.0086989829010719,0.1319029334140129,2005,68.0,66.0,26,Diabetes + ACS. No benefit (different design from DIGAMI)
HI-5,Insulin Therapy,Intensive insulin (glucose 72-108),Moderate (glucose 108-180),240,242,38,42,0.1583333333333333,0.1735537190082644,0.9123015873015872,-0.0917846557422874,0.2045150733114375,2009,63.0,76.0,6,"STEMI. Intensive control no benefit, more hypoglycemia"
UKPDS 34,Other Glucose-Lowering Agents,Metformin,Conventional diet,342,411,78,114,0.2280701754385964,0.2773722627737226,0.822253000923361,-0.1957071442712743,0.1274181149309476,1998,53.0,59.0,120,Overweight newly diagnosed T2DM. 32% mortality reduction
SPREAD-DIMCAD,Other Glucose-Lowering Agents,Metformin + insulin,Insulin alone,126,128,18,28,0.1428571428571428,0.21875,0.6530612244897959,-0.4260843953109001,0.2748105407973524,2009,61.0,74.0,60,T2DM + CAD. Metformin addition beneficial
PROactive,Other Glucose-Lowering Agents,Pioglitazone,Placebo,2605,2633,514,572,0.1973128598848368,0.2172426889479681,0.9082600700642928,-0.0962245206157907,0.0541304440220411,2005,62.0,66.0,35,T2DM + macrovascular disease. 10% MACE reduction (secondary endpoint)
IRIS,Other Glucose-Lowering Agents,Pioglitazone,Placebo,1939,1937,175,228,0.0902527075812274,0.1177077955601445,0.7667521692317436,-0.2655916468665826,0.0952274047096249,2016,64.0,63.0,56,Stroke/TIA + insulin resistance. 24% reduction in stroke/MI
RECORD,Other Glucose-Lowering Agents,Rosiglitazone,Metformin or sulfonylurea,2220,2227,154,165,0.0693693693693693,0.0740907049842837,0.9362762762762764,-0.0658446790959089,0.1079566002058224,2009,58.0,60.0,66,T2DM on metformin/SU. CV safety confirmed despite earlier concerns
ACE,Other Glucose-Lowering Agents,Acarbose,Placebo,714,715,47,59,0.0658263305322128,0.0825174825174825,0.7977258700090206,-0.2259902618412375,0.1882195172248688,2017,64.0,74.0,60,CHD + impaired glucose tolerance. 18% MACE reduction
ACCORD-Glucose,Other Glucose-Lowering Agents,Intensive (HbA1c <6%),Standard (HbA1c 7-7.9%),5128,5123,371,356,0.0723478939157566,0.0694905328908842,1.0411187093551155,0.0402958170941009,0.0715136394500542,2008,62.0,62.0,42,High CV risk. STOPPED EARLY - increased mortality with intensive control
ADVANCE-Glucose,Other Glucose-Lowering Agents,Intensive (HbA1c <6.5%),Standard,5571,5569,498,533,0.089391491653204,0.09570838570659,0.933998530988168,-0.0682804135723386,0.059372875099084,2008,66.0,58.0,60,"High CV risk. Microvascular benefit, no macrovascular benefit"
VADT,Other Glucose-Lowering Agents,Intensive (HbA1c 6.9%),Standard (HbA1c 8.4%),892,899,235,264,0.2634529147982062,0.2936596218020022,0.8971370091044978,-0.1085466871105464,0.0762218777737126,2009,60.0,97.0,67,"Veterans with T2DM. No CV benefit, more hypoglycemia"
UKPDS 33,Other Glucose-Lowering Agents,Intensive glucose control,Conventional,2729,1138,450,213,0.1648955661414437,0.1871704745166959,0.8809913345960703,-0.126707488967122,0.0753119425416968,1998,54.0,60.0,120,"Newly diagnosed T2DM. Microvascular benefit, trend for macrovascular"
UGDP,Other Glucose-Lowering Agents,Tolbutamide,Placebo,204,205,30,21,0.1470588235294117,0.1024390243902439,1.435574229691877,0.3615649292329243,0.2667815049578576,1970,55.0,45.0,96,Historical trial - raised CV safety concerns for sulfonylureas
TOSCA.IT,Other Glucose-Lowering Agents,Pioglitazone,Sulfonylurea,1535,1493,105,127,0.0684039087947882,0.0850636302746148,0.80414988843007,-0.2179695987831751,0.1267934032567482,2017,63.0,68.0,57,T2DM on metformin. TZD vs SU - similar CV outcomes
NAVIGATOR,Other Glucose-Lowering Agents,Nateglinide,Placebo,4645,4661,658,694,0.1416576964477933,0.148895086891225,0.9513926846443296,-0.0498283840566851,0.0503075296693621,2010,64.0,51.0,60,Impaired glucose tolerance + CVD. No CV benefit
STENO-2,Other Glucose-Lowering Agents,Intensive multifactorial,Conventional,80,80,24,44,0.3,0.55,0.5454545454545454,-0.6061358035703156,0.1984790653795493,2003,55.0,81.0,95,T2DM + microalbuminuria. Intensive multifactorial reduced CV events by 53%
Look AHEAD,Other Glucose-Lowering Agents,Intensive lifestyle,Standard education,2570,2575,403,418,0.1568093385214007,0.1623300970873786,0.965990542326811,-0.0346012353695022,0.0640021835787073,2013,59.0,41.0,120,Overweight/obese T2DM. Weight loss no CV benefit (but many other benefits)
CHANCE,Antiplatelet for Stroke,Clopidogrel + aspirin,Aspirin alone,2584,2586,212,303,0.08204334365325078,0.11716937354988399,0.7002115072188334,-0.3563728364080463,0.08510943930363506,2013,62.0,69.0,3,Minor stroke/TIA. DAPT for 21 days reduces stroke by 32%
POINT,Antiplatelet for Stroke,Clopidogrel + aspirin,Aspirin alone,2525,2499,121,160,0.04792079207920792,0.06402561024409764,0.7484628712871287,-0.2897336805115936,0.1171249893999199,2018,65.0,59.0,3,"Minor stroke/TIA. DAPT for 90 days, benefit but increased bleeding"
FASTER,Antiplatelet for Stroke,Clopidogrel + aspirin,Aspirin alone,196,196,21,28,0.10714285714285714,0.14285714285714285,0.75,-0.2876820724517809,0.27042420694287017,2007,68.0,60.0,3,"TIA or minor stroke within 24h. Small trial, trend favoring DAPT"
MATCH,Antiplatelet for Stroke,Clopidogrel + aspirin,Clopidogrel alone,3797,3802,596,587,0.1569660258098499,0.1543924250394529,1.0166692165741895,0.016531810053825452,0.05343261722218581,2004,66.0,71.0,18,"High CV risk. No benefit of adding aspirin to clopidogrel, more bleeding"
WARSS,Antiplatelet for Stroke,Warfarin (INR 1.4-2.8),Aspirin 325mg,1103,1103,196,176,0.17769718948322757,0.15956482320942883,1.1136363636363638,0.10763066419236555,0.09471336954604054,2001,63.0,63.0,25,Non-cardioembolic stroke. Warfarin no better than aspirin
ESPRIT,Antiplatelet for Stroke,Aspirin + dipyridamole,Aspirin alone,1376,1363,173,216,0.1257267441860465,0.15847395451210564,0.7933590385443584,-0.2314793999831423,0.09460209590203877,2006,63.0,64.0,42,TIA or minor stroke. Combination reduces events by 20%
CAPRIE-Stroke,Antiplatelet for Stroke,Clopidogrel 75mg,Aspirin 325mg,6431,6455,939,1021,0.14601150676411134,0.1581719597211464,0.9231187817456795,-0.0799973618105228,0.04164107558373913,1996,63.0,70.0,23,"Recent stroke, MI, or PAD. Clopidogrel 8.7% better (subset: stroke patients)"
PRoFESS,Antiplatelet for Stroke,Aspirin + dipyridamole,Clopidogrel,10181,10151,916,898,0.0899715155682153,0.0884641907201261,1.017038813511084,0.016895281049165836,0.04481689594870072,2008,66.0,63.0,30,Recent stroke. Aspirin-ER-dipyridamole vs clopidogrel - equivalent
CSPS 2,Antiplatelet for Stroke,Cilostazol + aspirin,Aspirin alone,1337,1336,121,163,0.09050112191473449,0.1220059880239521,0.7417760667367195,-0.2987078782153733,0.11359131122026295,2010,65.0,70.0,29,"Japanese post-stroke. Cilostazol+aspirin superior, less bleeding"
SOCRATES,Antiplatelet for Stroke,"Ticagrelor 180mg load, 90mg bid","Aspirin 300mg load, 100mg daily",6589,6604,442,497,0.06708149946881166,0.07525741974560872,0.8913606086358797,-0.11500620989273175,0.06301844488247951,2016,65.0,64.0,3,Minor stroke/TIA. Ticagrelor not superior to aspirin (p=0.07)
NINDS,Acute Stroke Treatment,t-PA within 3h,Placebo,312,312,125,163,0.40064102564102566,0.5224358974358975,0.7668711656441718,-0.2654364635044612,0.08789034597097092,1995,67.0,54.0,3,Landmark trial - established t-PA for acute ischemic stroke <3h
ECASS III,Acute Stroke Treatment,t-PA 3-4.5h,Placebo,418,403,185,219,0.44258373205741625,0.543424317617866,0.8144349041969805,-0.20526077531624948,0.07139944940471235,2008,65.0,57.0,3,"Extended window to 4.5 hours, 16% absolute benefit"
IST-3,Acute Stroke Treatment,t-PA within 6h,Control,1515,1520,554,534,0.36567656765676565,0.3513157894736842,1.0408771214200072,0.04006374368394157,0.048577284652517844,2012,77.0,47.0,6,"Elderly patients, extended window. Benefit less clear in extended window"
WAKE-UP,Acute Stroke Treatment,t-PA (MRI-guided),Placebo,254,249,126,149,0.49606299212598426,0.5983935742971888,0.828991174760873,-0.1875457695478101,0.0818220337160916,2018,65.0,62.0,3,"Wake-up stroke, MRI selection. Thrombolysis beneficial"
MR CLEAN,Acute Stroke Treatment,Thrombectomy + usual care,Usual care alone,233,267,103,163,0.44206008583690987,0.6104868913857678,0.7241106927512572,-0.32281100774257776,0.08835464528596607,2015,65.0,58.0,3,First positive thrombectomy trial - game changer
ESCAPE,Acute Stroke Treatment,Thrombectomy + t-PA,t-PA alone,165,150,83,110,0.503030303030303,0.7333333333333333,0.6859504132231405,-0.3769499378001431,0.091716024416242,2015,71.0,49.0,3,"Rapid imaging, fast treatment. 31% absolute benefit!"
EXTEND-IA,Acute Stroke Treatment,Thrombectomy + t-PA,t-PA alone,35,35,15,28,0.42857142857142855,0.8,0.5357142857142857,-0.6241543090729939,0.21269248984883138,2015,69.0,57.0,3,Stopped early - dramatic benefit of thrombectomy
SWIFT PRIME,Acute Stroke Treatment,Thrombectomy + t-PA,t-PA alone,98,98,36,61,0.3673469387755102,0.6224489795918368,0.5901639344262295,-0.5273549257172012,0.1541527071945948,2015,67.0,51.0,3,Solitaire device. 25% absolute improvement in functional outcome
DAWN,Acute Stroke Treatment,Thrombectomy 6-24h,Medical therapy,107,99,49,79,0.45794392523364486,0.797979797979798,0.5738790961788713,-0.5553365386837112,0.11670298462281897,2018,70.0,52.0,3,Extended window with perfusion imaging. 27% absolute benefit
DEFUSE-3,Acute Stroke Treatment,Thrombectomy 6-16h,Medical therapy,92,90,31,58,0.33695652173913043,0.6444444444444445,0.522863568215892,-0.6484347127800485,0.16588781600217492,2018,70.0,57.0,3,Extended window. 28% absolute improvement with thrombectomy
SPARCL,Stroke Secondary Prevention,Atorvastatin 80mg,Placebo,2365,2366,265,311,0.11205073995771671,0.13144547759932376,0.8524503239226936,-0.15964034258071322,0.07838068473470382,2006,63.0,60.0,58,Stroke/TIA without CHD. Statin reduces stroke by 16%
SPS3,Stroke Secondary Prevention,Aspirin + clopidogrel,Aspirin alone,1517,1516,125,138,0.08239947264337508,0.09102902374670185,0.9052000038214247,-0.09959936100111894,0.11801504320885131,2012,63.0,63.0,42,"Lacunar stroke. DAPT no benefit, more bleeding"
PATS,Stroke Secondary Prevention,Indapamide 2.5mg,Placebo,2841,2861,183,246,0.06441393875395987,0.08598392170569731,0.749139344614143,-0.28883027189501964,0.09395746192478796,1995,60.0,67.0,24,Chinese post-stroke. BP lowering reduces recurrent stroke by 29%
HOPE-Stroke,Stroke Secondary Prevention,Ramipril,Placebo,1013,1015,156,226,0.1539980256663376,0.22266009852216748,0.6916283011120915,-0.36870660479554446,0.09414163088266018,2000,66.0,70.0,56,Subset with prior stroke from HOPE. ACE-I beneficial
PICSS,Stroke Secondary Prevention,Warfarin,Aspirin,265,266,52,46,0.19622641509433963,0.17293233082706766,1.1347005742411815,0.12636880488780944,0.18285763933631777,2004,63.0,62.0,24,Patent foramen ovale. Warfarin no better than aspirin
CAPRIE-PAD,PAD Antiplatelet Therapy,Clopidogrel 75mg,Aspirin 325mg,6431,6455,939,1021,0.14601150676411134,0.1581719597211464,0.9231187817456795,-0.0799973618105228,0.04164107558373913,1996,63.0,72.0,23,PAD subset. Clopidogrel 23.8% better than aspirin in PAD
EUCLID,PAD Antiplatelet Therapy,Ticagrelor 90mg bid,Clopidogrel 75mg,6930,6942,751,740,0.10836940836940837,0.1065975223278594,1.0166222066222066,0.016485569803701937,0.04893422548658953,2017,66.0,74.0,30,Symptomatic PAD. Ticagrelor non-inferior to clopidogrel
TRA 2°P-TIMI 50,PAD Antiplatelet Therapy,Vorapaxar,Placebo,13225,13224,1028,1176,0.07773156899810964,0.08892921960072596,0.8740835615909879,-0.13457929966910198,0.04088848652792917,2012,60.0,72.0,30,"MI, stroke, or PAD. PAR-1 antagonist reduces events but increases bleeding"
COMPASS-PAD,PAD Antiplatelet Therapy,Rivaroxaban 2.5mg + aspirin,Aspirin alone,3787,3801,251,350,0.06627937681542118,0.09208103130755065,0.719794032215474,-0.3287901742642215,0.07946103874900723,2018,68.0,72.0,21,CAD or PAD. Low-dose rivaroxaban + aspirin reduces limb events by 46%
VOYAGER PAD,PAD Antiplatelet Therapy,Rivaroxaban 2.5mg + aspirin,Aspirin alone,3286,3278,508,584,0.1545952525867316,0.1781574130567419,0.8677452705125106,-0.14185707454318347,0.05542063945244703,2020,67.0,71.0,28,Post-revascularization for PAD. Rivaroxaban reduces limb/CV events by 15%
CASPAR,PAD Antiplatelet Therapy,Clopidogrel + aspirin,Aspirin alone,424,427,79,81,0.18632075471698112,0.18969555035128804,0.9822094106685302,-0.017950744208750466,0.14249033623267912,2010,63.0,76.0,36,"Post-revascularization. DAPT no overall benefit, possible benefit in prosthetic grafts"
BOA,PAD Antiplatelet Therapy,Oral anticoagulation,Aspirin,1339,1340,178,163,0.13293502613890965,0.12164179104477611,1.0928400921849015,0.08877989673910758,0.10129092855227662,2000,70.0,69.0,26,"Infrainguinal bypass. Anticoagulation no better than aspirin, more bleeding"
DUTCH BOA,PAD Antiplatelet Therapy,Oral anticoagulation,Aspirin,1226,1244,156,168,0.1272430668841762,0.13504823151125403,0.9422046143090189,-0.05953281535075379,0.10364901425764773,2004,69.0,68.0,21,Prosthetic infrapopliteal bypass. OAC no better than aspirin
