study_id,category,intervention,control,n_intervention,n_control,events_intervention,events_control,risk_intervention,risk_control,rr,log_rr,se_log_rr,year,mean_age,pct_male,mean_followup_months,notes
SYNTAX,PCI vs CABG,PCI (drug-eluting stents),CABG,903,897,152,112,0.16832779623477298,0.12486064659977704,1.34812529663028,0.2987149581929925,0.11526175377434564,2009,65.0,78.0,12,LANDMARK: Synergy between PCI with TAXUS and Cardiac Surgery. 3-vessel or left main CAD. CABG superior in complex disease (high SYNTAX score >32). Introduced SYNTAX score to guide revascularization choice
FREEDOM,PCI vs CABG,PCI (drug-eluting stents),CABG,953,947,176,131,0.18467995802728226,0.13833157338965152,1.3350528263498955,0.2889708613688764,0.10587786272710449,2012,63.0,71.0,45,Future REvascularization Evaluation in patients with Diabetes mellitus. Diabetes + multivessel CAD. CABG superior - 26% reduction in death/MI/stroke. Changed practice for diabetic patients
EXCEL,PCI vs CABG,PCI (everolimus-eluting stent),CABG,948,957,125,111,0.13185654008438819,0.11598746081504702,1.1368171969437793,0.12823242518789948,0.12210333578129251,2016,66.0,77.0,36,"Evaluation of XIENCE versus Coronary Artery Bypass Surgery for Effectiveness of Left Main Revascularization. Left main CAD, low-intermediate SYNTAX. PCI non-inferior at 3 years (controversial at 5 years)"
NOBLE,PCI vs CABG,PCI (biolimus-eluting stent),CABG,592,603,93,66,0.1570945945945946,0.10945273631840796,1.4352733415233416,0.3613553129700102,0.15018867913949382,2016,66.0,80.0,49,Nordic-Baltic-British left main revascularization study. Left main CAD. CABG superior to PCI - lower MACE. Contrasts with EXCEL findings
ISCHEMIA,PCI vs CABG,Initial invasive strategy,Initial conservative strategy,2588,2591,318,352,0.12287480680061824,0.1358548822848321,0.9044563193761417,-0.10042126787660141,0.07220258337004351,2020,64.0,77.0,42,International Study of Comparative Health Effectiveness with Medical and Invasive Approaches. Stable CAD with ischemia. NO BENEFIT of routine invasive strategy over optimal medical therapy for death/MI. Paradigm-shifting for stable CAD management
COURAGE,PCI vs CABG,PCI + optimal medical therapy,Optimal medical therapy alone,1149,1138,211,202,0.1836379460400348,0.17750439367311072,1.0345543692750476,0.0339707729123823,0.08911102569887044,2007,62.0,85.0,54,Clinical Outcomes Utilizing Revascularization and Aggressive Drug Evaluation. Stable CAD. PCI did not reduce death/MI vs medical therapy - challenged dogma
BARI,PCI vs CABG,PTCA (balloon angioplasty),CABG,915,914,131,121,0.1431693989071038,0.1323851203501094,1.0814614099263875,0.07831328378303909,0.1170942463043919,1996,61.0,74.0,63,Bypass Angioplasty Revascularization Investigation. Multivessel CAD in pre-stent era. Similar survival except in diabetics (CABG better)
CABRI,PCI vs CABG,PTCA,CABG,513,541,42,37,0.08187134502923976,0.06839186691312385,1.197091828670776,0.17989513931485573,0.21688431077943277,1995,60.0,87.0,12,Coronary Angioplasty versus Bypass Revascularisation Investigation. Multivessel disease. Similar mortality but more repeat procedures with PTCA
ARTS-I,PCI vs CABG,PCI (bare-metal stents),CABG,600,605,126,94,0.21,0.15537190082644628,1.351595744680851,0.3012859274961692,0.1235121313078121,2001,61.0,79.0,12,Arterial Revascularization Therapies Study. Multivessel CAD with BMS. Similar death/stroke/MI but more repeat revascularization with PCI
MASS-II,PCI vs CABG,PCI,CABG,203,203,42,38,0.20689655172413793,0.18719211822660098,1.105263157894737,0.10008345855698263,0.20068157995800098,2004,60.0,71.0,12,"Medicine, Angioplasty, or Surgery Study II. Multivessel CAD + angina. Also compared to medical therapy. CABG best for angina relief"
