study_id,category,intervention,control,n_intervention,n_control,events_intervention,events_control,risk_intervention,risk_control,rr,log_rr,se_log_rr,year,mean_age,pct_male,mean_followup_months,notes
RAVEL,BMS vs DES,Sirolimus-eluting stent (Cypher),Bare-metal stent,120,118,5,28,0.041666666666666664,0.23728813559322035,0.17559523809523808,-1.739573716057485,0.46787431657419065,2002,61.0,75.0,12,FIRST DES trial. Randomised study with the sirolimus-coated Bx Velocity balloon-expandable stent in the treatment of patients with de novo native coronary artery Lesions. Showed 0% restenosis with DES vs 26.6% with BMS - revolutionary!
SIRIUS,BMS vs DES,Sirolimus-eluting stent,Bare-metal stent,533,525,36,87,0.0675422138836773,0.1657142857142857,0.40758232516012166,-0.8975123417726945,0.188390806937863,2003,62.0,71.0,9,SIRolImUS-coated Bx Velocity stent. US pivotal trial that led to FDA approval. TVR reduced from 16.6% to 4.1% - landmark achievement
E-SIRIUS,BMS vs DES,Sirolimus-eluting stent,Bare-metal stent,175,177,11,34,0.06285714285714286,0.192090395480226,0.3272268907563025,-1.1171014931674759,0.33008612874000515,2003,62.0,76.0,8,European SIRIUS trial. Confirmed benefit of DES in European population
C-SIRIUS,BMS vs DES,Sirolimus-eluting stent,Bare-metal stent,50,50,3,12,0.06,0.24,0.25,-1.3862943611198906,0.6137317546507323,2004,63.0,78.0,9,Canadian SIRIUS. Smaller trial confirming DES benefit
TAXUS-I,BMS vs DES,Paclitaxel-eluting stent,Bare-metal stent,31,30,0,3,0.016129032258064516,0.11666666666666667,0.13824884792626727,-1.9786999718783043,1.4900076804717564,2003,59.0,79.0,6,TAXUS Slow-Release. First paclitaxel DES trial. Showed feasibility of alternative drug
TAXUS-II,BMS vs DES,Paclitaxel-eluting stent,Bare-metal stent,268,267,18,40,0.06716417910447761,0.149812734082397,0.448320895522388,-0.8022460183283788,0.270331082045542,2003,62.0,74.0,6,TAXUS II Slow-Release and Moderate-Release. Tested two formulations vs BMS
TAXUS-IV,BMS vs DES,Paclitaxel-eluting stent,Bare-metal stent,662,652,48,101,0.07250755287009064,0.1549079754601227,0.46806855912177325,-0.7591404999437237,0.16640314625309222,2004,63.0,74.0,9,Large US pivotal trial. Led to FDA approval of TAXUS stent. TLR 4.7% vs 12.0%
TAXUS-V,BMS vs DES,Paclitaxel-eluting stent,Bare-metal stent,577,579,51,79,0.08838821490467938,0.13644214162348878,0.6478072965798654,-0.43416200867779997,0.1697228712212064,2005,64.0,74.0,9,"Complex lesions (long, small vessels). DES superior even in complex anatomy"
TAXUS-VI,BMS vs DES,Paclitaxel-eluting stent,Bare-metal stent,219,227,22,38,0.1004566210045662,0.16740088105726872,0.6000961307378034,-0.5106654187031681,0.2505969643450519,2006,63.0,77.0,9,Bifurcation lesions. DES benefit extends to bifurcations
SPIRIT-II,BMS vs DES,Everolimus-eluting stent (Xience),Paclitaxel-eluting stent,223,77,15,10,0.06726457399103139,0.12987012987012986,0.5179372197309418,-0.6579012414982705,0.38625813745074455,2006,62.0,72.0,6,FIRST second-generation DES trial. Everolimus vs paclitaxel - new era begins
SPIRIT-III,BMS vs DES,Everolimus-eluting stent,Paclitaxel-eluting stent,669,332,43,44,0.06427503736920777,0.13253012048192772,0.4849843728767495,-0.7236386094364388,0.20365723698675234,2008,64.0,75.0,12,Clinical equivalence of EES vs PES. Non-inferior for clinical endpoint
SPIRIT-IV,BMS vs DES,Everolimus-eluting stent,Paclitaxel-eluting stent,2458,1229,104,82,0.04231082180634662,0.06672091131000814,0.6341463414634145,-0.4554755286828259,0.14349216735216266,2010,64.0,74.0,12,Largest SPIRIT trial. Confirmed EES superiority - became gold standard
COMPARE,BMS vs DES,Everolimus-eluting stent,Paclitaxel-eluting stent,897,903,48,72,0.05351170568561873,0.07973421926910298,0.6711259754738016,-0.398798416749975,0.18027749529091983,2010,64.0,77.0,12,All-comers trial. EES reduced MACE by 31% vs PES in real-world population
LEADERS,BMS vs DES,Biolimus-eluting stent (BES),Sirolimus-eluting stent,857,850,74,92,0.08634772462077013,0.10823529411764705,0.797777890517985,-0.22592505295828808,0.14845789638529036,2008,65.0,77.0,9,"BES with biodegradable polymer vs durable polymer SES. Similar efficacy, potentially safer"
BASKET-PROVE,BMS vs DES,DES (various),Bare-metal stent,1406,594,106,62,0.07539118065433854,0.10437710437710437,0.7222961501399532,-0.32532004394098973,0.1522112193150392,2010,67.0,77.0,24,Large-vessel PCI (≥3mm). DES benefit less clear in large vessels at 2 years
ENDEAVOR II,DES Generation Comparisons,Zotarolimus-eluting stent (Endeavor),Bare-metal stent,598,597,49,84,0.08193979933110368,0.1407035175879397,0.5823578595317725,-0.5406701412907167,0.17019295664434983,2006,63.0,69.0,9,Zotarolimus (ENDEAVOR) vs BMS. Less efficacy than sirolimus but faster endothelialization
ENDEAVOR III,DES Generation Comparisons,Zotarolimus-eluting stent,Sirolimus-eluting stent (Cypher),323,113,21,5,0.06501547987616099,0.04424778761061947,1.4693498452012383,0.3848200207790066,0.4854621662547202,2006,63.0,72.0,8,ZES vs SES. ZES had higher restenosis but potentially better safety
ENDEAVOR IV,DES Generation Comparisons,Zotarolimus-eluting stent,Paclitaxel-eluting stent (Taxus),773,775,48,60,0.062095730918499355,0.07741935483870968,0.8020698576972833,-0.22055957054828468,0.18685827880656714,2008,63.0,73.0,8,ZES non-inferior to PES for clinical endpoint. Similar efficacy
RESOLUTE All Comers,DES Generation Comparisons,Zotarolimus-eluting stent (Resolute),Everolimus-eluting stent (Xience),1140,1152,101,106,0.08859649122807017,0.0920138888888889,0.9628599801390267,-0.03784727740351237,0.13262618076816188,2010,64.0,73.0,12,Resolute (improved ZES) vs Xience. Non-inferior - both excellent second-gen DES
TWENTE,DES Generation Comparisons,Resolute ZES,Xience V EES,697,697,56,56,0.08034433285509325,0.08034433285509325,1.0,0.0,0.18123146872211582,2011,64.0,74.0,12,"All-comers, real-world. Confirmed equivalence of two second-gen DES"
