study_id,category,intervention,control,n_intervention,n_control,events_intervention,events_control,risk_intervention,risk_control,rr,log_rr,se_log_rr,year,mean_age,pct_male,mean_followup_months,notes
DAPA-CKD,SGLT2 Inhibitors in CKD,Dapagliflozin 10mg daily,Placebo,2152,2152,197,312,0.09154275092936803,0.1449814126394052,0.6314102564102565,-0.4597994590714937,0.08574323476151412,2020,62.0,67.0,28,"Dapagliflozin And Prevention of Adverse outcomes in CKD. CKD stages 2-4 (eGFR 25-75). Primary: 50% eGFR decline/ESRD/renal or CV death reduced 39% (9.2% vs 14.5%, HR 0.61, p<0.001). STOPPED EARLY for efficacy. Landmark - SGLT2i for CKD regardless of diabetes."
EMPA-KIDNEY,SGLT2 Inhibitors in CKD,Empagliflozin 10mg daily,Placebo,3304,3305,432,558,0.13075060532687652,0.16883509833585478,0.7744278684683277,-0.25563075649228273,0.05917511479567838,2023,64.0,66.0,24,"Empagliflozin Outcome Trial in Patients with CKD. eGFR 20-45 or 45-90 with albuminuria. Primary composite reduced 28% (13.1% vs 16.9%, HR 0.72, p<0.001). Consistent across diabetes/non-diabetes. CV death reduced. Confirms SGLT2i class effect in CKD."
CREDENCE,SGLT2 Inhibitors in CKD,Canagliflozin 100mg daily,Placebo,2202,2199,336,420,0.15258855585831063,0.19099590723055934,0.7989100817438692,-0.2245068780420738,0.06669526287787562,2019,63.0,66.0,31,"Canagliflozin and Renal Events in Diabetes with Established Nephropathy. Type 2 DM + CKD (eGFR 30-90, albuminuria). Primary renal outcome reduced 30% (HR 0.70, p=0.00001), CV death/HF hosp reduced 31%. STOPPED EARLY. First SGLT2i trial with primary renal endpoint."
SCORED,SGLT2 Inhibitors in CKD,Sotagliflozin 200-400mg daily,Placebo,5292,5292,637,717,0.12037037037037036,0.1354875283446712,0.8884239888423988,-0.11830618502745709,0.050858921565722845,2021,69.0,57.0,16,"Sotagliflozin in Patients with diabetes and CKD. Type 2 DM + CKD (eGFR 25-60). CV death/HF hosp/urgent HF visit reduced 26% (12% vs 13.5%, HR 0.74, p<0.001). Dual SGLT1/2 inhibitor. Total CV events reduced 33%."
DAPA-HF CKD subgroup,SGLT2 Inhibitors in CKD,Dapagliflozin 10mg daily,Placebo,1926,1935,386,502,0.20041536863966772,0.2594315245478036,0.7725174070074842,-0.2581007371210869,0.05955416679311186,2020,66.0,77.0,18,"DAPA-HF trial, CKD subgroup (eGFR<60). HFrEF with CKD. CV death/HF hosp reduced 29% (HR 0.71). Consistent benefit across eGFR categories. Showed SGLT2i safe and effective even in moderate-severe CKD (eGFR 30-60)."
CREATE,CKD Anemia Management,Target Hb 13-15 g/dL (EPO),Target Hb 10.5-11.5 g/dL,301,302,56,47,0.18604651162790697,0.15562913907284767,1.1954477981197427,0.17852084165108453,0.18027817723580797,2006,52.0,61.0,36,"Cardiovascular Risk reduction by Early Anemia Treatment with Epoetin beta. CKD stages 3-4 (not on dialysis). Primary composite CV events NO BENEFIT (18.6% vs 15.6%, HR 1.24, p=0.36). Higher Hb target may be harmful. Changed practice - don't normalize Hb."
CHOIR,CKD Anemia Management,Target Hb 13.5 g/dL (EPO-α),Target Hb 11.3 g/dL,715,717,125,97,0.17482517482517482,0.13528591352859135,1.2922644365943334,0.256396056704531,0.1245631438766863,2006,65.0,54.0,16,"Correction of Hemoglobin and Outcomes In Renal insufficiency. CKD + anemia. STOPPED EARLY for harm. Death/MI/HF hosp/stroke INCREASED 34% (17.5% vs 13.5%, HR 1.34, p=0.03). High Hb target harmful! Landmark safety trial."
TREAT,CKD Anemia Management,Darbepoetin to Hb 13 g/dL,Placebo (rescue if Hb<9),2012,2026,632,602,0.31411530815109345,0.29713721618953604,1.057138894209494,0.055566102427035295,0.0474637413282771,2009,66.0,49.0,29,"Trial to Reduce cardiovascular Events with Aranesp Therapy. Type 2 DM + CKD + anemia. Death/CV event NO BENEFIT (HR 1.05, p=0.41). Stroke INCREASED 92% (101 vs 53, p=0.001). Confirmed harm of high Hb targets. FDA black box warning."
Normal Hematocrit Study,CKD Anemia Management,Target Hct 42% (EPO),Target Hct 30%,618,615,183,150,0.2961165048543689,0.24390243902439024,1.2140776699029125,0.19398466909399223,0.09427093032040539,1998,60.0,72.0,14,"Hemodialysis patients with cardiac disease. FIRST trial showing harm of normalized Hct. Death/MI INCREASED 30% (HR 1.3, p=0.02). STOPPED EARLY. Normal Hct increases thrombosis risk, hypertension. Foundational trial changing anemia management."
PIVOTAL,CKD Anemia Management,Proactive high-dose IV iron,Reactive low-dose IV iron,1093,1101,208,238,0.19030192131747484,0.2161671207992734,0.8803462830694949,-0.12743994542401535,0.0847714261013804,2019,58.0,62.0,26,"Proactive IV irOn therapy in haemoDialysis patients. HD patients on ESA. Proactive high-dose iron reduced death/non-fatal CV events 15% (19% vs 21.6%, HR 0.85, p=0.04). Lower ESA doses needed. IV iron superior to oral for HD patients."
AFFIRM-AHF CKD,CKD Anemia Management,IV ferric carboxymaltose,Placebo,558,550,188,213,0.33691756272401435,0.38727272727272727,0.8699749272216333,-0.13929088703427023,0.08002304732637383,2020,71.0,59.0,12,"Affirm in Acute HF and iron deficiency, CKD subgroup. Acute HF + iron deficiency + CKD. HF hosp reduced 24% in CKD patients. IV iron benefits extend to HF with CKD. Iron deficiency common in HF+CKD (60-70%)."
EVOLVE,CKD Bone-Mineral Metabolism,Cinacalcet,Placebo,1948,1935,938,952,0.4815195071868583,0.49198966408268735,0.9787187462253896,-0.021510964523738837,0.03296020875040595,2012,54.0,60.0,25,"Evaluation of Cinacalcet HCl Therapy to Lower Cardiovascular Events. Hemodialysis + secondary hyperparathyroidism. Primary composite (death/MI/HF hosp/PVD) NO BENEFIT (HR 0.93, p=0.11). Lowered PTH but not CV events. Changed guidelines - don't use cinacalcet just for CV prevention."
ADVANCE,CKD Bone-Mineral Metabolism,Cinacalcet + low-dose vit D,Flexible vitamin D,183,177,16,28,0.08743169398907104,0.15819209039548024,0.5526932084309133,-0.5929522082030145,0.2951272392136051,2011,53.0,55.0,12,Cinacalcet to Lower Cardiovascular Events (pilot). HD patients. Vascular calcification progression slower with cinacalcet (22% vs 30%). Hypercalcemia episodes reduced. Led to EVOLVE trial.
PRIMO,CKD Bone-Mineral Metabolism,Paricalcitol (vitamin D analog),Placebo,112,115,15,18,0.13392857142857142,0.1565217391304348,0.8556547619047619,-0.15588829972579915,0.32341613846519435,2010,62.0,71.0,12,"Paricalcitol Capsule Benefits in Renal Failure-Induced Cardiac Morbidity. CKD stages 3-4 + LVH. LV mass index reduced with paricalcitol (-8g/m² vs +2g/m², p<0.001). Vitamin D analogs may reduce LVH in CKD. Small pilot."
INDEPENDENT-CKD,CKD Bone-Mineral Metabolism,Sevelamer carbonate (non-Ca binder),Calcium carbonate,212,210,45,52,0.21226415094339623,0.24761904761904763,0.8572206095791002,-0.15405997276565134,0.17881304638927,2012,63.0,65.0,24,"Impact of Phosphate Reduction on Vascular End-points in CKD. CKD 3b-4. Vascular calcification progression slower with sevelamer (11% vs 25%, p<0.001). Non-calcium binders may reduce vascular calcification vs calcium-based. But no CV outcome benefit proven."
CALMAG,CKD Bone-Mineral Metabolism,Lanthanum carbonate (non-Ca binder),Calcium carbonate,49,51,8,11,0.16326530612244897,0.21568627450980393,0.7569573283858997,-0.2784483965048356,0.4193960950062958,2013,57.0,67.0,18,Calcium Acetate/Magnesium carbonate trial. HD patients. Aortic calcification progression slower with lanthanum. Small pilot comparing phosphate binders. Non-Ca binders preferable to avoid vascular calcification.
MDRD,BP Management in CKD,MAP <92 mmHg (low BP),MAP 100-107 mmHg,329,329,73,82,0.22188449848024316,0.24924012158054712,0.8902439024390244,-0.11625980611586197,0.14076478512960092,1994,52.0,60.0,31,Modification of Diet in Renal Disease. CKD (non-diabetic). Lower BP slowed progression ONLY in proteinuria >1g/day. No benefit if proteinuria <1g/day. Established concept: lower BP target needed in proteinuric CKD.
AASK,BP Management in CKD,MAP <92 mmHg (intensive),MAP 102-107 mmHg,554,540,189,193,0.34115523465703973,0.3574074074074074,0.9545275995585568,-0.046538721034206795,0.08255571717202848,2002,55.0,61.0,48,"African American Study of Kidney disease. Hypertensive nephrosclerosis in blacks. Intensive BP: NO benefit for primary composite (HR 0.98, p=0.85). But proteinuria reduced. Challenged aggressive BP lowering unless high proteinuria."
SPRINT CKD subgroup,BP Management in CKD,SBP <120 mmHg,SBP <140 mmHg,1330,1316,147,191,0.11052631578947368,0.14513677811550152,0.7615321025075779,-0.27242295059843047,0.10259905001497432,2015,73.0,65.0,38,"SPRINT trial, CKD subgroup (eGFR<60). Intensive BP reduced CV events 19% (HR 0.81) and all-cause death 28% in CKD patients. But acute kidney injury increased. Benefit-risk favorable for CV outcomes, not progression."
ALTITUDE,BP Management in CKD,Aliskiren (direct renin inhibitor) + ACEi/ARB,Placebo + ACEi/ARB,4403,4391,783,732,0.17783329548035431,0.1667046230926896,1.0667568312216336,0.06462304683545518,0.04678036977663466,2012,65.0,65.0,33,"Aliskiren Trial in Type 2 diabetes Using carDio-renal Endpoints. Type 2 DM + CKD. STOPPED EARLY for harm. Non-fatal stroke increased, hyperkalemia, hypotension. Dual RAAS blockade HARMFUL in CKD. Do not combine ACEi + ARB."
