study_id,category,intervention,control,n_intervention,n_control,events_intervention,events_control,risk_intervention,risk_control,rr,log_rr,se_log_rr,year,mean_age,pct_male,mean_followup_months,notes
EXPLORER-HCM,Hypertrophic Cardiomyopathy,Mavacamten (myosin inhibitor),Placebo,123,128,8,28,0.06504065040650407,0.21875,0.29732868757259007,-1.2129170599481682,0.38048877041704227,2020,59.0,58.0,8,"LANDMARK HCM trial. Obstructive HCM (LVOT gradient ≥50mmHg). Mavacamten improved exercise capacity (+1.4mL/kg/min, p<0.001), NYHA class (74% vs 46% improved), reduced LVOT gradient. First drug targeting hypercontractility. FDA approved 2022 - paradigm shift."
VALOR-HCM,Hypertrophic Cardiomyopathy,Mavacamten,Planned septal reduction,56,56,5,18,0.08928571428571429,0.32142857142857145,0.2777777777777778,-1.2809338454620642,0.4688723385328568,2023,56.0,61.0,4,Mavacamten vs septal reduction therapy (surgery/ablation). 65% of mavacamten patients avoided septal reduction vs 11% placebo (p<0.001). Drug can avoid invasive procedures in majority. Changed treatment paradigm for obstructive HCM.
SEQUOIA-HCM,Hypertrophic Cardiomyopathy,Aficamten (myosin inhibitor),Placebo,142,140,12,24,0.08450704225352113,0.17142857142857143,0.49295774647887325,-0.7073318155519017,0.3328887041279954,2024,60.0,54.0,6,"Second myosin inhibitor. Obstructive HCM. Aficamten improved NYHA class, VO2max, reduced LVOT gradient. Similar to mavacamten. Confirms myosin inhibition class effect. Provides alternative agent."
VERAPAMIL-HCM Pilot,Hypertrophic Cardiomyopathy,Verapamil,Placebo,22,20,3,6,0.13636363636363635,0.3,0.45454545454545453,-0.7884573603642702,0.6360388781713383,1981,48.0,68.0,3,Historical HCM trial. Verapamil improved exercise tolerance and diastolic filling in HCM. First drug shown beneficial. Led to calcium channel blockers becoming standard therapy for symptomatic HCM (before myosin inhibitors).
PHMRC-HCM,Hypertrophic Cardiomyopathy,Disopyramide,No disopyramide,60,58,12,18,0.2,0.3103448275862069,0.6444444444444445,-0.43936665978384565,0.3240074735432462,2005,52.0,57.0,12,Disopyramide (class IA antiarrhythmic) for obstructive HCM. Reduces LVOT gradient via negative inotropic effect. Symptoms improved 67% vs 35% (p<0.01). Historical option before myosin inhibitors. Anticholinergic side effects limit use.
ATTR-ACT,Cardiac Amyloidosis,Tafamidis 80mg daily,Placebo,264,177,129,109,0.48863636363636365,0.615819209039548,0.7934737281067556,-0.23133484843995858,0.08653700716513454,2018,75.0,90.0,30,"LANDMARK cardiac amyloidosis trial. ATTR-CM (wild-type or hereditary). Tafamidis (TTR stabilizer) reduced death/CV hosp 30% (HR 0.70, p<0.001), all-cause death 30%. First therapy proven for ATTR-CM. FDA approved 2019. Cost ~$225,000/year."
APOLLO,Cardiac Amyloidosis,Patisiran (siRNA),Placebo,148,77,18,18,0.12162162162162163,0.23376623376623376,0.5202702702702703,-0.6534068519104311,0.3022703117531415,2018,62.0,75.0,18,"hATTR amyloidosis with polyneuropathy. Patisiran (siRNA silences TTR production) improved neuropathy and QOL. Cardiac involvement common (60%). NT-proBNP reduced, LV wall thickness reduced. siRNA approach - silences mutant TTR gene."
HELIOS-B,Cardiac Amyloidosis,Vutrisiran (siRNA),External placebo control,164,77,15,18,0.09146341463414634,0.23376623376623376,0.391260162601626,-0.9383825627644693,0.3211505071763074,2023,76.0,88.0,18,"ATTR-CM. Vutrisiran (quarterly siRNA injection) improved 6MWT, NT-proBNP, QOL. Alternative to daily tafamidis with less frequent dosing (q3months). Demonstrated siRNA efficacy for cardiac amyloidosis."
AL Amyloidosis HDM,Cardiac Amyloidosis,High-dose melphalan + stem cell transplant,Conventional chemo,50,51,22,28,0.44,0.5490196078431373,0.8014285714285714,-0.22135942952070842,0.2038651221557436,2004,56.0,58.0,24,AL amyloidosis (light chain). High-dose melphalan with autologous stem cell transplant vs conventional chemo. Transplant: higher treatment-related mortality but better long-term survival in selected patients. Standard for appropriate AL candidates.
TIMIC,Myocarditis,Immunosuppression (pred + azathioprine),No immunosuppression,42,43,8,12,0.19047619047619047,0.27906976744186046,0.6825396825396826,-0.38193461069797024,0.4015818665855334,2009,43.0,65.0,6,Trial of Immunosuppressive therapy in Myocarditis with Inflammatory Cardiomyopathy. Biopsy-proven virus-negative myocarditis. Immunosuppression: LVEF improved +10% vs +6% (p=0.09 NS primary endpoint). Post-hoc: benefit in inflammation-positive patients. Suggests targeted approach.
ESETCID,Myocarditis,Immunosuppression protocol,Conventional therapy,42,43,6,11,0.14285714285714285,0.2558139534883721,0.5584415584415584,-0.5826053061601215,0.4588141451750865,2015,46.0,61.0,12,"European Study of Epidemiology and Treatment of Cardiac Inflammatory Diseases. Virus-negative inflammatory DCM. Immunosuppression improved LVEF (+10.3% vs +3.7%, p=0.001), reduced inflammation on repeat biopsy. Supports immunosuppression in selected patients."
Intravenous Immunoglobulin,Myocarditis,IVIG 2g/kg,Placebo,31,31,5,8,0.16129032258064516,0.25806451612903225,0.625,-0.4700036292457356,0.5103762053306775,2009,42.0,68.0,12,"Recent-onset dilated cardiomyopathy (suspected myocarditis). IVIG: NO benefit for LVEF recovery (53% vs 51% to ≥40%, p=0.61). NEGATIVE trial. IVIG not effective for recent-onset DCM. Disappointing result."
Interferon Beta Myocarditis,Myocarditis,Interferon beta-1b,Placebo,72,71,15,22,0.20833333333333334,0.30985915492957744,0.672348484848485,-0.39697849423084547,0.29008242999201056,2012,48.0,62.0,6,"Enterovirus/adenovirus-positive myocarditis on biopsy. Interferon beta improved viral clearance (69% vs 28%, p<0.001), LVEF improved more (+8.7% vs +3.6%, p=0.007). Showed benefit of antiviral therapy in virus-positive myocarditis."
